id,name,label,wiki_url,alma_mater,birth_date,birth_place,children,death_date,education,nationality,occupation,spouse
45,Andreas Norlén,Person,https://vi.wikipedia.org/wiki/Andreas_Norl%C3%A9n,Đại học Stockholm Đại học Linköping,"Per Olof Andreas Norlén; 6 tháng 5, 1973; (52 tuổi); Bromma; ,; Thụy Điển",,,,,,,
47,Andrew Giuliani,Person,https://vi.wikipedia.org/wiki/Andrew_Giuliani,Duke University,"30 tháng 1, 1986; (39 tuổi); New York City; ,; New York; ,; Hoa Kỳ",,,,,,,
48,Andrej Babiš,Person,https://vi.wikipedia.org/wiki/Andrej_Babi%C5%A1,"Đại học Kinh tế, Bratislava","2 tháng 9, 1954; (71 tuổi); Bratislava; ,; Tiệp Khắc; (nay là; Slovakia; )",,4,,,,,
49,Andrus Ansip,Person,https://vi.wikipedia.org/wiki/Andrus_Ansip,Đại học Tartu,"1 tháng 10, 1956; (69 tuổi); Tartu; , Liên Xô",,,,,,,
50,Andrew Cuomo,Person,https://vi.wikipedia.org/wiki/Andrew_Cuomo,Đại học Fordham; B.A.; (1979); Trường luật Albany; J.D.; (1982),"6 tháng 12, 1957; (67 tuổi); Queens, New York",,Cara; Michaela; Mariah,,,,,
55,Andrzej Duda,Person,https://vi.wikipedia.org/wiki/Andrzej_Duda,Jagiellonian University,"Andrzej Sebastian Duda; 16 tháng 5, 1972; (53 tuổi); Kraków; ,; Ba Lan",,1,,,,,
57,Anne Hidalgo,Person,https://vi.wikipedia.org/wiki/Anne_Hidalgo,Đại học Jean Moulin Lyon 3,"19 tháng 6, 1959; (66 tuổi); San Fernando, Cádiz; , Tây Ban Nha",,3 bao gồm Arthur Germain,,,,,
59,Anneli Jäätteenmäki,Person,https://vi.wikipedia.org/wiki/Anneli_J%C3%A4%C3%A4tteenm%C3%A4ki,Đại học Helsinki,"Anneli Tuulikki Jäätteenmäki; 11 tháng 2; năm; 1955; (69 tuổi); Lapua; ,; Phần Lan",,2,,,,,
60,Andy Beshear,Person,https://vi.wikipedia.org/wiki/Andy_Beshear,Đại học Vanderbilt; (BA); Đại học Virginia; (JD),"tháng 11, 1977 (47 tuổi); Louisville, Kentucky; ,; Hoa Kỳ",,"Will Beshear, Lila Beshear",,"Cử nhân Nghệ thuật, Tiến sĩ Luật",Hoa Kỳ,Luật gia; Chính trị gia,
61,Anthony Lake,Person,https://vi.wikipedia.org/wiki/Anthony_Lake,"Harvard University; Trinity College, Cambridge; Princeton University","2 tháng 4, 1939; (86 tuổi); New York City; ,; New York; ,; Hoa Kỳ",,,,,,,
62,Anthony Eden,Person,https://vi.wikipedia.org/wiki/Anthony_Eden,"Nhà thờ Christ, Oxford; Eton College","12 tháng 6; năm; 1897; Windlestone Hall; ,; County Durham; , Anh",,Simon; Robert; Nicholas,"14 tháng 1; năm; 1977; (79 tuổi); Alvediston; ,; Salisbury; ,; Wiltshire; , Anh",,,,
63,Anthony Albanese,Person,https://vi.wikipedia.org/wiki/Anthony_Albanese,Đại học Sydney,"2 tháng 3, 1963; (62 tuổi); Darlinghurst, New South Wales; , Australia",,1,,,,,
64,Antonio Salandra,Person,https://vi.wikipedia.org/wiki/Antonio_Salandra,Đại học Napoli,"13 tháng 8; năm; 1853; Troia; ,; Apulia; ,; Vương quốc Hai Sicilia",,,"9 tháng 12; năm; 1931; (78 tuổi); Rome; ,; Vương quốc Ý",,,,
