src_person_id,dst_university_id,src_person,dst_university,year
540,399,Jerome Adams,"Đại học California, Berkeley",
541,683,John Foster Dulles,Đại học Princeton,
541,480,John Foster Dulles,Đại học George Washington,
547,741,John Howard,Đại học Sydney,
548,62,Jimmy Carter,Học viện Công nghệ Georgia,
548,73,Jimmy Carter,Học viện Hải quân Hoa Kỳ,
549,516,John F. Kennedy,Đại học Harvard,
550,440,John Jay,Đại học Columbia,
552,753,John Kasich,Đại học Tiểu bang Ohio,
553,516,John Hancock,Đại học Harvard,
554,35,John Carney,Cử nhân Nghệ thuật,
554,522,John Carney,Đại học Dartmouth,
554,460,John Carney,Đại học Delaware,
557,805,John Lipsky,Đại học Wesleyan,
557,742,John Lipsky,Đại học Stanford,
558,399,John Kenneth Galbraith,"Đại học California, Berkeley",
558,783,John Kenneth Galbraith,Đại học Toronto,
560,516,John Roberts,Đại học Harvard,
562,516,John Quincy Adams,Đại học Harvard,
563,755,John O. Brennan,Đại học Texas tại Austin,
564,842,John R. Bolton,Đại học Yale,
565,460,Joe Biden,Đại học Delaware,
565,35,Joe Biden,Cử nhân Nghệ thuật,
567,664,John Turner,Đại học Paris,
568,808,John Tyler,Đại học William & Mary,
569,708,John Wilkins,Đại học Oxford,
570,475,Joko Widodo,Đại học Gadjah Mada,
571,518,Jon Ossoff,Đại học Georgetown,
571,187,Jon Ossoff,Trường Kinh tế Luân Đôn,
572,683,Jonathan Dayton,Đại học Princeton,
573,773,Joseph Boakai,Đại học Tiểu bang Kansas,
580,683,Joshua Angrist,Đại học Princeton,
581,397,Josef Mengele,Đại học Bonn,
581,589,Josef Mengele,Đại học Ludwig Maximilian München,
581,492,Josef Mengele,Đại học Goethe Frankfurt,
584,477,José Manuel Barroso,Đại học Geneva,
585,397,Joseph Goebbels,Đại học Bonn,
585,479,Joseph Goebbels,Đại học Freiburg,
585,505,Joseph Goebbels,Đại học Heidelberg,
590,635,Julie Payette,Đại học McGill,
590,783,Julie Payette,Đại học Toronto,
591,73,John McCain,Học viện Hải quân Hoa Kỳ,
593,508,Juho Kusti Paasikivi,Đại học Helsinki,
595,552,Juan Manuel Santos,Đại học Kansas,
595,224,Juan Manuel Santos,Trường Kinh tế và Khoa học Chính trị Luân Đôn,
595,516,Juan Manuel Santos,Đại học Harvard,
596,187,K. R. Narayanan,Trường Kinh tế Luân Đôn,
597,358,Julia Gillard,Đại học Adelaide,
597,614,Julia Gillard,Đại học Melbourne,
598,745,Kaja Kallas,Đại học Tartu,
598,35,Kaja Kallas,Cử nhân Nghệ thuật,
599,661,Juha Sipilä,Đại học Oulu,
600,609,Karolos Papoulias,Đại học Milano,
604,775,Katayama Tetsu,Đại học Tokyo,
605,490,Karl Böhm,Đại học Graz,
606,834,Kaifu Toshiki,Đại học Waseda,
607,413,Karel Čapek,Đại học Charles ở Praha,
608,508,Keijo Liinamaa,Đại học Helsinki,
609,775,Katō Takaaki,Đại học Tokyo,
610,35,Kazuo Ishiguro,Cử nhân Nghệ thuật,
611,56,Katō Tomosaburō,Học viện Hải quân Đế quốc Nhật Bản,
614,35,Kay Ivey,Cử nhân Nghệ thuật,
615,224,Kim Campbell,Trường Kinh tế và Khoa học Chính trị Luân Đôn,
617,775,Katō Katsunobu,Đại học Tokyo,
618,599,Keir Starmer,Đại học Leeds,
618,708,Keir Starmer,Đại học Oxford,
620,703,Kevin Rudd,Đại học Quốc gia Úc,
621,440,Kenneth Arrow,Đại học Columbia,
622,712,Kim Myeong-soo,Đại học Quốc gia Seoul,
623,712,Kim Young-sam,Đại học Quốc gia Seoul,
625,775,Kishi Nobusuke,Đại học Tokyo,
628,515,Kamala Harris,Đại học Howard,
628,35,Kamala Harris,Cử nhân Nghệ thuật,
628,196,Kamala Harris,Trường Luật Hastings,
629,440,Koizumi Shinjirō,Đại học Columbia,
630,670,Kim Tráng Long,Đại học Phục Đán,
630,267,Kim Tráng Long,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,
632,743,Klemens von Metternich,Đại học Strasbourg,
634,479,Konrad Adenauer,Đại học Freiburg,
634,589,Konrad Adenauer,Đại học Ludwig Maximilian München,
634,397,Konrad Adenauer,Đại học Bonn,
635,370,Konstantinos Karamanlis,Đại học Athens,
638,548,Koizumi Junichirō,Đại học Keio,
638,579,Koizumi Junichirō,Đại học London,
639,834,Kishida Fumio,Đại học Waseda,
640,784,Kim Jong-un,Đại học Tổng hợp Kim Nhật Thành,
640,688,Kim Jong-un,Đại học Quân sự Kim Nhật Thành,
641,834,Kōno Yōhei,Đại học Waseda,
643,433,Kurt Vonnegut,Đại học Cornell,
643,421,Kurt Vonnegut,Đại học Carnegie Mellon,
643,426,Kurt Vonnegut,Đại học Chicago,
645,606,Lamberto Dini,Đại học Minnesota,
645,632,Lamberto Dini,Đại học Michigan,
646,430,Lars Løkke Rasmussen,Đại học Copenhagen,
647,518,Laura Chinchilla,Đại học Georgetown,
648,516,Kyriakos Mitsotakis,Đại học Harvard,
649,568,Laimdota Straujuma,Đại học Latvia,
650,461,Larry Hogan,Đại học Bang Florida,
651,267,Lam Phật An,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc,
652,148,Laurent Fabius,Sciences Po,
