src_person_id,dst_person_id,src_person,dst_person
47,50,Vladimir Vladimirovich Putin,Sergei Stepashin
47,46,Vladimir Vladimirovich Putin,Theodore Roosevelt
47,15,Vladimir Vladimirovich Putin,Donald Trump
47,22,Vladimir Vladimirovich Putin,Hillary Clinton
47,18,Vladimir Vladimirovich Putin,George W. Bush
47,9,Vladimir Vladimirovich Putin,Angela Merkel
47,29,Vladimir Vladimirovich Putin,Laura Bush
47,10,Vladimir Vladimirovich Putin,Barack Obama
47,48,Vladimir Vladimirovich Putin,Ronald Reagan
47,17,Vladimir Vladimirovich Putin,George H. W. Bush
47,8,Vladimir Vladimirovich Putin,Bill Clinton
47,41,Vladimir Vladimirovich Putin,Rudy Giuliani
47,33,Vladimir Vladimirovich Putin,Mark Zuckerberg
47,27,Vladimir Vladimirovich Putin,Maria Ressa
47,49,Vladimir Vladimirovich Putin,Joe Biden
47,30,Vladimir Vladimirovich Putin,Kamala Harris
48,17,Ronald Reagan,George H. W. Bush
48,23,Ronald Reagan,Jerry Brown
48,15,Ronald Reagan,Donald Trump
48,8,Ronald Reagan,Bill Clinton
48,16,Ronald Reagan,Helmut Kohl
48,18,Ronald Reagan,George W. Bush
48,10,Ronald Reagan,Barack Obama
48,35,Ronald Reagan,John McCain
48,26,Ronald Reagan,John Quincy Adams
48,46,Ronald Reagan,Theodore Roosevelt
48,49,Ronald Reagan,Joe Biden
49,3,Joe Biden,Beau Biden
49,30,Joe Biden,Kamala Harris
49,15,Joe Biden,Donald Trump
49,10,Joe Biden,Barack Obama
49,6,Joe Biden,Dick Cheney
49,31,Joe Biden,Mike Pence
49,28,Joe Biden,Jill Biden
49,20,Joe Biden,Hunter Biden
49,35,Joe Biden,John McCain
49,43,Joe Biden,Sarah Palin
49,32,Joe Biden,Mitt Romney
49,36,Joe Biden,Paul Ryan
49,22,Joe Biden,Hillary Clinton
49,17,Joe Biden,George H. W. Bush
49,48,Joe Biden,Ronald Reagan
49,8,Joe Biden,Bill Clinton
49,46,Joe Biden,Theodore Roosevelt
49,19,Joe Biden,JD Vance
49,26,Joe Biden,John Quincy Adams
49,18,Joe Biden,George W. Bush
