src_id,src_type,dst_id,dst_type,relation
632,Person,743,University,alumni_of
634,Person,397,University,alumni_of
634,Person,479,University,alumni_of
634,Person,580,University,alumni_of
634,Person,589,University,alumni_of
634,Person,618,University,alumni_of
634,Person,619,University,alumni_of
635,Person,288,University,alumni_of
635,Person,365,University,alumni_of
635,Person,370,University,alumni_of
638,Person,548,University,alumni_of
639,Person,834,University,alumni_of
640,Person,688,University,alumni_of
640,Person,784,University,alumni_of
641,Person,834,University,alumni_of
645,Person,632,University,alumni_of
646,Person,430,University,alumni_of
647,Person,30,University,alumni_of
647,Person,518,University,alumni_of
648,Person,516,University,alumni_of
648,Person,742,University,alumni_of
649,Person,568,University,alumni_of
650,Person,461,University,alumni_of
652,Person,194,University,alumni_of
652,Person,216,University,alumni_of
652,Person,336,University,alumni_of
652,Person,344,University,alumni_of
654,Person,72,University,alumni_of
656,Person,482,University,alumni_of
656,Person,795,University,alumni_of
656,Person,802,University,alumni_of
657,Person,410,University,alumni_of
657,Person,510,University,alumni_of
657,Person,712,University,alumni_of
658,Person,712,University,alumni_of
663,Person,35,University,alumni_of
664,Person,470,University,alumni_of
677,Person,780,University,alumni_of
683,Person,543,University,alumni_of
684,Person,764,University,alumni_of
685,Person,35,University,alumni_of
686,Person,266,University,alumni_of
686,Person,267,University,alumni_of
686,Person,400,University,alumni_of
686,Person,427,University,alumni_of
690,Person,266,University,alumni_of
690,Person,267,University,alumni_of
690,Person,416,University,alumni_of
690,Person,670,University,alumni_of
690,Person,744,University,alumni_of
691,Person,266,University,alumni_of
691,Person,267,University,alumni_of
691,Person,416,University,alumni_of
692,Person,764,University,alumni_of
693,Person,23,University,alumni_of
693,Person,433,University,alumni_of
693,Person,841,University,alumni_of
695,Person,516,University,alumni_of
696,Person,682,University,alumni_of
697,Person,434,University,alumni_of
698,Person,427,University,alumni_of
698,Person,488,University,alumni_of
700,Person,480,University,alumni_of
700,Person,516,University,alumni_of
700,Person,683,University,alumni_of
701,Person,266,University,alumni_of
701,Person,267,University,alumni_of
702,Person,416,University,alumni_of
703,Person,488,University,alumni_of
705,Person,775,University,alumni_of
705,Person,805,University,alumni_of
707,Person,454,University,alumni_of
709,Person,449,University,alumni_of
710,Person,696,University,alumni_of
712,Person,801,University,alumni_of
715,Person,449,University,alumni_of
717,Person,741,University,alumni_of
718,Person,678,University,alumni_of
722,Person,90,University,alumni_of
724,Person,430,University,alumni_of
725,Person,508,University,alumni_of
732,Person,257,University,alumni_of
732,Person,261,University,alumni_of
732,Person,659,University,alumni_of
732,Person,660,University,alumni_of
732,Person,664,University,alumni_of
733,Person,389,University,alumni_of
733,Person,842,University,alumni_of
735,Person,708,University,alumni_of
736,Person,35,University,alumni_of
736,Person,617,University,alumni_of
738,Person,678,University,alumni_of
738,Person,683,University,alumni_of
741,Person,571,University,alumni_of
742,Person,661,University,alumni_of
744,Person,508,University,alumni_of
745,Person,390,University,alumni_of
745,Person,500,University,alumni_of
745,Person,825,University,alumni_of
750,Person,530,University,alumni_of
754,Person,516,University,alumni_of
754,Person,537,University,alumni_of
762,Person,664,University,alumni_of
767,Person,516,University,alumni_of
769,Person,366,University,alumni_of
774,Person,254,University,alumni_of
774,Person,549,University,alumni_of
777,Person,516,University,alumni_of
777,Person,683,University,alumni_of
778,Person,428,University,alumni_of
780,Person,775,University,alumni_of
781,Person,312,University,alumni_of
781,Person,640,University,alumni_of
783,Person,312,University,alumni_of
783,Person,406,University,alumni_of
783,Person,640,University,alumni_of
786,Person,125,University,alumni_of
786,Person,406,University,alumni_of
786,Person,668,University,alumni_of
787,Person,35,University,alumni_of
790,Person,372,University,alumni_of
796,Person,834,University,alumni_of
797,Person,540,University,alumni_of
801,Person,406,University,alumni_of
803,Person,613,University,alumni_of
803,Person,705,University,alumni_of
806,Person,35,University,alumni_of
812,Person,35,University,alumni_of
813,Person,574,University,alumni_of
815,Person,80,University,alumni_of
819,Person,493,University,alumni_of
826,Person,764,University,alumni_of
828,Person,449,University,alumni_of
829,Person,764,University,alumni_of
831,Person,516,University,alumni_of
831,Person,842,University,alumni_of
832,Person,522,University,alumni_of
833,Person,259,University,alumni_of
835,Person,142,University,alumni_of
836,Person,696,University,alumni_of
837,Person,818,University,alumni_of
838,Person,425,University,alumni_of
838,Person,740,University,alumni_of
839,Person,664,University,alumni_of
839,Person,667,University,alumni_of
841,Person,834,University,alumni_of
842,Person,632,University,alumni_of
844,Person,90,University,alumni_of
844,Person,254,University,alumni_of
844,Person,696,University,alumni_of
848,Person,540,University,alumni_of
849,Person,834,University,alumni_of
850,Person,834,University,alumni_of
851,Person,255,University,alumni_of
852,Person,500,University,alumni_of
858,Person,842,University,alumni_of
859,Person,472,University,alumni_of
860,Person,499,University,alumni_of
860,Person,562,University,alumni_of
861,Person,655,University,alumni_of
862,Person,500,University,alumni_of
864,Person,736,University,alumni_of
865,Person,508,University,alumni_of
865,Person,522,University,alumni_of
866,Person,299,University,alumni_of
866,Person,514,University,alumni_of
869,Person,734,University,alumni_of
871,Person,664,University,alumni_of
872,Person,733,University,alumni_of
874,Person,664,University,alumni_of
881,Person,585,University,alumni_of
885,Person,508,University,alumni_of
889,Person,511,University,alumni_of
889,Person,639,University,alumni_of
890,Person,600,University,alumni_of
893,Person,682,University,alumni_of
898,Person,791,University,alumni_of
899,Person,427,University,alumni_of
899,Person,682,University,alumni_of
899,Person,739,University,alumni_of
902,Person,148,University,alumni_of
902,Person,345,University,alumni_of
902,Person,516,University,alumni_of
903,Person,291,University,alumni_of
903,Person,426,University,alumni_of
909,Person,405,University,alumni_of
911,Person,842,University,alumni_of
912,Person,516,University,alumni_of
912,Person,683,University,alumni_of
913,Person,516,University,alumni_of
