id,name,label,wiki_url,country
373,Hamid Karzai,Person,https://vi.wikipedia.org/wiki/Hamid_Karzai,Afghan
379,Giáo hoàng Lêô XIV,Person,https://vi.wikipedia.org/wiki/Gi%C3%A1o_ho%C3%A0ng_L%C3%AA%C3%B4_XIV,Hoa Kỳ Perú (từ 2015) Thành Vatican (từ 2023)
383,Harry Markowitz,Person,https://vi.wikipedia.org/wiki/Harry_Markowitz,Hoa Kỳ
385,Harry R. Lewis,Person,https://vi.wikipedia.org/wiki/Harry_R._Lewis,Hoa Kỳ
388,Greg Gianforte,Person,https://vi.wikipedia.org/wiki/Greg_Gianforte,Hoa Kỳ
391,Harry Reid,Person,https://vi.wikipedia.org/wiki/Harry_Reid,Mỹ
399,Helen Keller,Person,https://vi.wikipedia.org/wiki/Helen_Keller,Mỹ (gốc Thụy Sĩ )
400,Henry Purcell,Person,https://vi.wikipedia.org/wiki/Henry_Purcell,Vương quốc Anh
404,Henry McMaster,Person,https://vi.wikipedia.org/wiki/Henry_McMaster,Hoa Kỳ
409,Henry A. Wallace,Person,https://vi.wikipedia.org/wiki/Henry_A._Wallace,Hoa Kỳ
420,Hoàng Thủ Hoành,Person,https://vi.wikipedia.org/wiki/Ho%C3%A0ng_Th%E1%BB%A7_Ho%C3%A0nh,Trung Quốc
421,Hoài Tiến Bằng,Person,https://vi.wikipedia.org/wiki/Ho%C3%A0i_Ti%E1%BA%BFn_B%E1%BA%B1ng,Trung Quốc
423,Hoàng Tuần Tài,Person,https://vi.wikipedia.org/wiki/Ho%C3%A0ng_Tu%E1%BA%A7n_T%C3%A0i,Singapore
427,Hà Vệ Đông,Person,https://vi.wikipedia.org/wiki/H%C3%A0_V%E1%BB%87_%C4%90%C3%B4ng,Trung Quốc
429,Hác Bằng,Person,https://vi.wikipedia.org/wiki/H%C3%A1c_B%E1%BA%B1ng,Trung Quốc
431,Hà Lập Phong,Person,https://vi.wikipedia.org/wiki/H%C3%A0_L%E1%BA%ADp_Phong,Trung Quốc
432,Hạ Quân Khoa,Person,https://vi.wikipedia.org/wiki/H%E1%BA%A1_Qu%C3%A2n_Khoa,Trung Quốc
