id,name,label,wiki_url,career
282,Frank Forde,Person,https://vi.wikipedia.org/wiki/Frank_Forde,Giáo viên; Chính trị gia; Nhà ngoại giao
285,Franz Schubert,Person,https://vi.wikipedia.org/wiki/Franz_Schubert,"nhà soạn nhạc , nghệ sĩ dương cầm , giáo viên"
290,François Rabelais,Person,https://vi.wikipedia.org/wiki/Fran%C3%A7ois_Rabelais,"Nhà văn, giáo sĩ"
292,Franklin D. Roosevelt,Person,https://vi.wikipedia.org/wiki/Franklin_D._Roosevelt,Chính trị gia Luật sư
297,Franz Kafka,Person,https://vi.wikipedia.org/wiki/Franz_Kafka,Tiểu thuyết gia nhà văn viết truyện ngắn nhân viên bảo hiểm
298,Donald Trump,Person,https://vi.wikipedia.org/wiki/Donald_Trump,Chính khách doanh nhân nhân vật truyền thông
307,Gabriel García Márquez,Person,https://vi.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez,Nhà văn nhà báo nhà hoạt động chính trị
318,George Reid (chính khách Úc),Person,https://vi.wikipedia.org/wiki/George_Reid_%28ch%C3%ADnh_kh%C3%A1ch_%C3%9Ac%29,Luật sư; Chính trị gia
328,Getúlio Vargas,Person,https://vi.wikipedia.org/wiki/Get%C3%BAlio_Vargas,Chính khách; Luật sư
340,Gerald Ford,Person,https://vi.wikipedia.org/wiki/Gerald_Ford,Luật sư
348,Gough Whitlam,Person,https://vi.wikipedia.org/wiki/Gough_Whitlam,Đại sứ; nhân quyền; (; UNESCO; )
350,Glenn Greenwald,Person,https://vi.wikipedia.org/wiki/Glenn_Greenwald,Luật sư tác giả nhà báo
351,Graham Greene,Person,https://vi.wikipedia.org/wiki/Graham_Greene,Nhà văn
353,Gordon Brown,Person,https://vi.wikipedia.org/wiki/Gordon_Brown,"Nhà báo; ,; Giáo sư; ,; Chính trị gia"
354,Giả Khánh Lâm,Person,https://vi.wikipedia.org/wiki/Gi%E1%BA%A3_Kh%C3%A1nh_L%C3%A2m,Kĩ sư
362,Gustav Holst,Person,https://vi.wikipedia.org/wiki/Gustav_Holst,"nhà soạn nhạc , nhà soạn nhạc kịch, giáo viên âm nhạc"
363,Guadalupe Victoria,Person,https://vi.wikipedia.org/wiki/Guadalupe_Victoria,Luật sư; Sĩ quan (; tướng; )
365,Greg Abbott,Person,https://vi.wikipedia.org/wiki/Greg_Abbott,Luật gia; Chính trị gia
366,Gustav Mahler,Person,https://vi.wikipedia.org/wiki/Gustav_Mahler,"nhạc trưởng , nhà soạn nhạc , nhà soạn nhạc cổ điển, người chỉ huy dàn nhạc"
367,Gretchen Whitmer,Person,https://vi.wikipedia.org/wiki/Gretchen_Whitmer,Luật sư Chính trị gia
368,Habib Bourguiba,Person,https://vi.wikipedia.org/wiki/Habib_Bourguiba,Chính trị gia
369,H. G. Wells,Person,https://vi.wikipedia.org/wiki/H._G._Wells,Tiểu thuyết giáo viên nhà sử nhà báo
370,Hafez al-Assad,Person,https://vi.wikipedia.org/wiki/Hafez_al-Assad,Chính khách
377,Harold Holt,Person,https://vi.wikipedia.org/wiki/Harold_Holt,Luật sư
380,Harold Macmillan,Person,https://vi.wikipedia.org/wiki/Harold_Macmillan,Nhà xuất bản
388,Greg Gianforte,Person,https://vi.wikipedia.org/wiki/Greg_Gianforte,"Doanh nhân, Kỹ sư, Tác giả, Nhà thiện nguyện, Chính trị gia"
399,Helen Keller,Person,https://vi.wikipedia.org/wiki/Helen_Keller,"Nhà văn, diễn giả, nhà hoạt động xã hội"
400,Henry Purcell,Person,https://vi.wikipedia.org/wiki/Henry_Purcell,"nhà soạn nhạc , nghệ sĩ đàn organ, nhà âm nhạc học, nhà lý luận âm nhạc, tác giả"
403,Herman Cain,Person,https://vi.wikipedia.org/wiki/Herman_Cain,Businessman; Radio host; Columnist
404,Henry McMaster,Person,https://vi.wikipedia.org/wiki/Henry_McMaster,"Luật gia, Chính trị gia"
408,Henry Kissinger,Person,https://vi.wikipedia.org/wiki/Henry_Kissinger,Nhà ngoại giao chính trị gia nhà khoa học chính trị
420,Hoàng Thủ Hoành,Person,https://vi.wikipedia.org/wiki/Ho%C3%A0ng_Th%E1%BB%A7_Ho%C3%A0nh,Chuyên gia kinh tế; Chính trị gia
421,Hoài Tiến Bằng,Person,https://vi.wikipedia.org/wiki/Ho%C3%A0i_Ti%E1%BA%BFn_B%E1%BA%B1ng,Nhà khoa học; Chính trị gia
427,Hà Vệ Đông,Person,https://vi.wikipedia.org/wiki/H%C3%A0_V%E1%BB%87_%C4%90%C3%B4ng,Sĩ quan Quân đội
429,Hác Bằng,Person,https://vi.wikipedia.org/wiki/H%C3%A1c_B%E1%BA%B1ng,Chính trị gia
431,Hà Lập Phong,Person,https://vi.wikipedia.org/wiki/H%C3%A0_L%E1%BA%ADp_Phong,Chính trị gia
432,Hạ Quân Khoa,Person,https://vi.wikipedia.org/wiki/H%E1%BA%A1_Qu%C3%A2n_Khoa,Chuyên gia Hàng không vũ trụ; Chính trị gia
434,Hugo Chávez,Person,https://vi.wikipedia.org/wiki/Hugo_Ch%C3%A1vez,"Quân nhân, Chính trị gia"
439,Hạ Vinh,Person,https://vi.wikipedia.org/wiki/H%E1%BA%A1_Vinh,"Luật gia, Chính trị gia"
440,Iryna Venediktova,Person,https://vi.wikipedia.org/wiki/Iryna_Venediktova,Luật sư
442,Isaac Asimov,Person,https://vi.wikipedia.org/wiki/Isaac_Asimov,"Tiểu thuyết gia, nhà văn truyện ngắn, nhà văn tiểu luận, sử giả, Giáo sư hóa sinh , nhà văn viết sách giáo khoa, nhà nhân học"
445,Hầu Khải,Person,https://vi.wikipedia.org/wiki/H%E1%BA%A7u_Kh%E1%BA%A3i,Chính trị gia
446,Imran Khan,Person,https://vi.wikipedia.org/wiki/Imran_Khan,cricketer politician philanthropist author
450,Ivan Logginovich Goremykin,Person,https://vi.wikipedia.org/wiki/Ivan_Logginovich_Goremykin,Chính trị gia
453,Ivo Andrić,Person,https://vi.wikipedia.org/wiki/Ivo_Andri%C4%87,"nhà văn , tiểu thuyết gia , nhà ngoại giao , nhà thơ , nhà văn tiểu luận, tác giả truyện ngắn"
456,J. M. Barrie,Person,https://vi.wikipedia.org/wiki/J._M._Barrie,"Nhà văn , Nhà viết kịch"
461,Jacques Chaban-Delmas,Person,https://vi.wikipedia.org/wiki/Jacques_Chaban-Delmas,"Nhà báo, chuyên gia tài chính, chuẩn tướng"
466,JD Vance,Person,https://vi.wikipedia.org/wiki/JD_Vance,Chính trị gia tác giả nhà đầu tư mạo hiểm luật sư
469,James Buchanan,Person,https://vi.wikipedia.org/wiki/James_Buchanan,Luật sư Nhà ngoại giao Chính trị gia
480,J. B. Pritzker,Person,https://vi.wikipedia.org/wiki/J._B._Pritzker,Doanh nhân; Nhà thiện nguyện; Luật gia; Chính trị gia
484,James Baldwin,Person,https://vi.wikipedia.org/wiki/James_Baldwin,"Tiểu thuyết gia, nhà viết kịch, nhà hoạt động xã hội"
492,J. K. Rowling,Person,https://vi.wikipedia.org/wiki/J._K._Rowling,Nhà văn Nhà từ thiện Nhà sản xuất phim Nhà sản xuất truyền hình Nhà biên kịch
497,Jawaharlal Nehru,Person,https://vi.wikipedia.org/wiki/Jawaharlal_Nehru,"Luật sư, Nhà văn, Chính trị gia"
498,Jean Jaurès,Person,https://vi.wikipedia.org/wiki/Jean_Jaur%C3%A8s,Chủ nhiệm báo L'Humanité
