src_person_id,dst_university_id,src_person,dst_university
604,775,Katayama Tetsu,Đại học Tokyo
605,490,Karl Böhm,Đại học Graz
606,834,Kaifu Toshiki,Đại học Waseda
607,413,Karel Čapek,Đại học Charles ở Praha
608,508,Keijo Liinamaa,Đại học Helsinki
609,775,Katō Takaaki,Đại học Tokyo
610,35,Kazuo Ishiguro,Cử nhân Nghệ thuật
611,56,Katō Tomosaburō,Học viện Hải quân Đế quốc Nhật Bản
612,35,Kate Brown,Cử nhân Nghệ thuật
614,35,Kay Ivey,Cử nhân Nghệ thuật
615,224,Kim Campbell,Trường Kinh tế và Khoa học Chính trị Luân Đôn
617,775,Katō Katsunobu,Đại học Tokyo
618,599,Keir Starmer,Đại học Leeds
620,703,Kevin Rudd,Đại học Quốc gia Úc
621,440,Kenneth Arrow,Đại học Columbia
622,712,Kim Myeong-soo,Đại học Quốc gia Seoul
623,712,Kim Young-sam,Đại học Quốc gia Seoul
625,775,Kishi Nobusuke,Đại học Tokyo
628,515,Kamala Harris,Đại học Howard
628,35,Kamala Harris,Cử nhân Nghệ thuật
628,196,Kamala Harris,Trường Luật Hastings
628,408,Kamala Harris,Đại học California tại Berkeley
628,635,Kamala Harris,Đại học McGill
629,440,Koizumi Shinjirō,Đại học Columbia
630,670,Kim Tráng Long,Đại học Phục Đán
630,267,Kim Tráng Long,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
631,574,Kim Dae-jung,Đại học Kyung Hee
632,743,Klemens von Metternich,Đại học Strasbourg
633,224,Kristalina Georgieva,Trường Kinh tế và Khoa học Chính trị Luân Đôn
633,703,Kristalina Georgieva,Đại học Quốc gia Úc
633,764,Kristalina Georgieva,Đại học Thanh Hoa
634,479,Konrad Adenauer,Đại học Freiburg
634,589,Konrad Adenauer,Đại học Ludwig Maximilian München
634,397,Konrad Adenauer,Đại học Bonn
635,370,Konstantinos Karamanlis,Đại học Athens
637,751,Kukrit Pramoj,Đại học Thammasat
638,548,Koizumi Junichirō,Đại học Keio
638,579,Koizumi Junichirō,Đại học London
639,834,Kishida Fumio,Đại học Waseda
639,775,Kishida Fumio,Đại học Tokyo
640,784,Kim Jong-un,Đại học Tổng hợp Kim Nhật Thành
640,688,Kim Jong-un,Đại học Quân sự Kim Nhật Thành
641,834,Kōno Yōhei,Đại học Waseda
643,433,Kurt Vonnegut,Đại học Cornell
643,421,Kurt Vonnegut,Đại học Carnegie Mellon
643,426,Kurt Vonnegut,Đại học Chicago
645,606,Lamberto Dini,Đại học Minnesota
645,632,Lamberto Dini,Đại học Michigan
646,430,Lars Løkke Rasmussen,Đại học Copenhagen
647,518,Laura Chinchilla,Đại học Georgetown
649,568,Laimdota Straujuma,Đại học Latvia
650,461,Larry Hogan,Đại học Bang Florida
651,267,Lam Phật An,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
652,148,Laurent Fabius,Sciences Po
652,194,Laurent Fabius,Trường Hành chính quốc gia (Pháp)
655,690,Lawrence Klein,Đại học Pennsylvania
655,632,Lawrence Klein,Đại học Michigan
655,399,Lawrence Klein,"Đại học California, Berkeley"
656,802,Lech Kaczyński,Đại học Warszawa
656,482,Lech Kaczyński,Đại học Gdańsk
657,712,Lee Sang-min (chính khách),Đại học Quốc gia Seoul
657,410,Lee Sang-min (chính khách),Đại học Cao Ly
658,712,Lee Hae-chan,Đại học Quốc gia Seoul
660,104,Leonard Bernstein,Học viện âm nhạc Curtis
661,445,Lee Jae-myung,Đại học Chung-Ang
666,813,Lucy Webb Hayes,Đại học Wesley (Ohio)
668,755,Laura Bush,Đại học Texas tại Austin
669,89,Lloyd Austin,Học viện Quân sự Hoa Kỳ
670,385,Lluís Domènech i Montaner,Đại học Barcelona
672,389,Luigi Einaudi,Đại học Bocconi
674,510,Lee Myung-bak,Đại học Hàn Quốc
674,410,Lee Myung-bak,Đại học Cao Ly
675,647,Lev Davidovich Trotsky,Đại học Odessa
676,648,Luigi Luzzatti,Đại học Padua
677,780,Lyudmila Aleksandrovna Putina,Đại học Tổng hợp Sankt-Peterburg
678,401,Luis Arce,Đại học Buenos Aires
681,278,Lê Văn Kim,Trường Võ bị Quốc gia Đà Lạt
682,397,Luigi Pirandello,Đại học Bonn
682,653,Luigi Pirandello,Đại học Palermo
683,543,Lâu Cần Kiệm,Đại học Khoa học và Kỹ thuật Hoa Trung
683,267,Lâu Cần Kiệm,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
684,764,Lý Cán Kiệt,Đại học Thanh Hoa
685,599,Liz Truss,Đại học Leeds
685,35,Liz Truss,Cử nhân Nghệ thuật
685,224,Liz Truss,Trường Kinh tế và Khoa học Chính trị Luân Đôn
686,427,Lý Cường,Đại học Chiết Giang
686,400,Lý Cường,Đại học Bách khoa Hồng Kông
686,267,Lý Cường,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
686,416,Lý Cường,Đại học Bắc Kinh
687,801,Lý Hiểu Hồng,Đại học Vũ Hán
687,408,Lý Hiểu Hồng,Đại học California tại Berkeley
688,840,Lyndon B. Johnson,Đại học Virginia
689,267,Lý Quốc Anh,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
690,744,Lý Nguyên Triều,Đại học Sư phạm Hoa Đông
690,670,Lý Nguyên Triều,Đại học Phục Đán
690,416,Lý Nguyên Triều,Đại học Bắc Kinh
690,267,Lý Nguyên Triều,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
691,267,Lý Thư Lỗi,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
691,416,Lý Thư Lỗi,Đại học Bắc Kinh
692,764,Lý Hi,Đại học Thanh Hoa
693,841,Lý Đăng Huy,Đại học quốc lập Đài Loan
693,433,Lý Đăng Huy,Đại học Cornell
694,260,Lưu Kết Nhất,Trường sau đại học
696,682,Lạc Thụ Cương,Đại học Nhân dân Trung Quốc
696,267,Lạc Thụ Cương,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
697,434,Lý Hồng Trung,Đại học Cát Lâm
698,427,Lưu Kỳ (sinh năm 1957),Đại học Chiết Giang
698,488,Lưu Kỳ (sinh năm 1957),Đại học Giao thông Tây An
699,521,Lý Gia Siêu,Đại học Hồng Kông
700,804,Lý Thừa Vãn,Đại học Washington
700,683,Lý Thừa Vãn,Đại học Princeton
700,480,Lý Thừa Vãn,Đại học George Washington
701,267,Lưu Kim Quốc,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
702,416,Lý Khắc Cường,Đại học Bắc Kinh
703,488,Lục Trị Nguyên,Đại học Giao thông Tây An
704,560,Maehara Seiji,Đại học Kyoto
705,775,Machimura Nobutaka,Đại học Tokyo
705,805,Machimura Nobutaka,Đại học Wesleyan
707,454,Mahmoud Abbas,Đại học Damascus
708,192,Magdalena Andersson,Trường Kinh tế Stockholm
709,449,Lưu Quốc Trung,Đại học Công nghiệp Cáp Nhĩ Tân
710,696,Mahathir Mohamad,Đại học Quốc gia Singapore
710,649,Mahathir Mohamad,Đại học Nottingham
712,801,Lộc Tâm Xã,Đại học Vũ Hán
713,841,Lại Thanh Đức,Đại học quốc lập Đài Loan
713,702,Lại Thanh Đức,Đại học Quốc lập Thành Công
715,449,Lật Chiến Thư,Đại học Công nghiệp Cáp Nhĩ Tân
715,267,Lật Chiến Thư,Trường Đảng Trung ương Đảng Cộng sản Trung Quốc
717,741,Malcolm Turnbull,Đại học Sydney
719,440,Mahmud Ahmadinezhad,Đại học Columbia
722,219,Lương Cường,Trường Sĩ quan Chính trị
722,90,Lương Cường,Học viện Chính trị Quốc gia Hồ Chí Minh
724,430,Margrethe Vestager,Đại học Copenhagen
725,508,Mari Kiviniemi,Đại học Helsinki
726,256,Manuel Valls,Trường Đại học Paris I
731,193,Marin Alsop,Trường Juilliard
732,261,Marine Le Pen,Trường Đại học Paris II
733,389,Mario Monti,Đại học Bocconi
734,35,Mark Leno,Cử nhân Nghệ thuật
735,152,Margaret Thatcher,Somerville College
735,812,Margaret Thatcher,Đại học William và Mary
736,617,Mark Gordon (chính trị gia),Đại học Middlebury
738,683,Maria Ressa,Đại học Princeton
741,571,Mark Rutte,Đại học Leiden
742,661,Martti Ahtisaari,Đại học Oulu
743,537,Mark Zuckerberg,Đại học Johns Hopkins
743,411,Mark Zuckerberg,Đại học California
744,508,Matti Vanhanen,Đại học Helsinki
745,825,Mateusz Morawiecki,Đại học Wrocław
745,500,Mateusz Morawiecki,Đại học Hamburg
745,390,Mateusz Morawiecki,Đại học Basel
746,397,Max Bruch,Đại học Bonn
747,795,Małgorzata Kidawa-Błońska,Đại học Warsaw
747,802,Małgorzata Kidawa-Błońska,Đại học Warszawa
749,335,Maurice Allais,École Polytechnique
750,530,Megawati Sukarnoputri,Đại học Indonesia
752,473,Matteo Renzi,Đại học Firenze
754,537,Michael Bloomberg,Đại học Johns Hopkins
758,795,Menachem Begin,Đại học Warsaw
759,421,Merton Miller,Đại học Carnegie Mellon
759,426,Merton Miller,Đại học Chicago
759,537,Merton Miller,Đại học Johns Hopkins
759,188,Merton Miller,Trường Kinh tế London
760,668,Michael Spence,Đại học New York
760,683,Michael Spence,Đại học Princeton
760,783,Michael Spence,Đại học Toronto
761,416,Mao Trạch Đông,Đại học Bắc Kinh
762,148,Michel Debré,Sciences Po
762,664,Michel Debré,Đại học Paris
763,683,Michael Froman,Đại học Princeton
763,205,Michael Froman,Trường Luật Harvard
764,148,Michel Rocard,Sciences Po
764,336,Michel Rocard,École nationale d'administration
768,664,Miguel Ángel Asturias,Đại học Paris
769,366,Mike Beebe,Đại học Arkansas
774,549,Mikhail Andreyevich Suslov,Đại học Kinh tế Quốc dân Plekhanov
774,705,Mikhail Andreyevich Suslov,Đại học Quốc gia Moskva
774,319,Mikhail Andreyevich Suslov,Viện Hàn lâm Khoa học Liên Xô
776,89,Mike Pompeo,Học viện Quân sự Hoa Kỳ
777,683,Michelle Obama,Đại học Princeton
777,426,Michelle Obama,Đại học Chicago
778,428,Miroslav Lajčák,Đại học Comenius
780,775,Miyazawa Kiichi,Đại học Tokyo
781,640,Miki Takeo,Đại học Nam California
782,668,Mitch McConnell,Đại học New York
783,406,Mohamed Morsi,Đại học Cairo
783,640,Mohamed Morsi,Đại học Nam California
784,837,Min Aung Hlaing,Đại học Yangon
786,406,Mohamed ElBaradei,Đại học Cairo
786,668,Mohamed ElBaradei,Đại học New York
787,35,Michelle Lujan Grisham,Cử nhân Nghệ thuật
790,372,Mohammed Shia' Al Sudani,Đại học Bagdad
794,426,Milton Friedman,Đại học Chicago
794,440,Milton Friedman,Đại học Columbia
794,606,Milton Friedman,Đại học Minnesota
794,291,Milton Friedman,University of Chicago
796,834,Mori Yoshirō,Đại học Waseda
797,540,Moshe Sharett,Đại học Istanbul
797,187,Moshe Sharett,Trường Kinh tế Luân Đôn
801,406,Mostafa Madbouly,Đại học Cairo
803,705,Mikhail Sergeyevich Gorbachyov,Đại học Quốc gia Moskva
805,426,Myron Scholes,Đại học Chicago
805,603,Myron Scholes,Đại học McMaster
806,35,Muhammad Yunus,Cử nhân Nghệ thuật
811,337,Mã Hiểu Vĩ,Viện Khoa học Trung Quốc
811,521,Mã Hiểu Vĩ,Đại học Hồng Kông
812,604,Mike DeWine,Đại học Miami
812,35,Mike DeWine,Cử nhân Nghệ thuật
813,574,Moon Jae-in,Đại học Kyung Hee
