id,name,label,wiki_url
105,Benjamin Britten,Person,https://vi.wikipedia.org/wiki/Benjamin_Britten
106,Basuki Tjahaja Purnama,Person,https://vi.wikipedia.org/wiki/Basuki_Tjahaja_Purnama
107,Benjamin Butler,Person,https://vi.wikipedia.org/wiki/Benjamin_Butler
108,Benjamin Harrison,Person,https://vi.wikipedia.org/wiki/Benjamin_Harrison
109,Bill de Blasio,Person,https://vi.wikipedia.org/wiki/Bill_de_Blasio
110,Bhimrao Ambedkar,Person,https://vi.wikipedia.org/wiki/Bhimrao_Ambedkar
111,Bernard Cazeneuve,Person,https://vi.wikipedia.org/wiki/Bernard_Cazeneuve
112,Bertil Ohlin,Person,https://vi.wikipedia.org/wiki/Bertil_Ohlin
113,Bettino Craxi,Person,https://vi.wikipedia.org/wiki/Bettino_Craxi
114,Bettino Ricasoli,Person,https://vi.wikipedia.org/wiki/Bettino_Ricasoli
115,Bernie Sanders,Person,https://vi.wikipedia.org/wiki/Bernie_Sanders
116,Bogdan Borusewicz,Person,https://vi.wikipedia.org/wiki/Bogdan_Borusewicz
117,Bob Woodward,Person,https://vi.wikipedia.org/wiki/Bob_Woodward
118,Bohuslav Sobotka,Person,https://vi.wikipedia.org/wiki/Bohuslav_Sobotka
119,Bill Clinton,Person,https://vi.wikipedia.org/wiki/Bill_Clinton
120,Bob Hawke,Person,https://vi.wikipedia.org/wiki/Bob_Hawke
121,Bill Gates,Person,https://vi.wikipedia.org/wiki/Bill_Gates
122,Bongbong Marcos,Person,https://vi.wikipedia.org/wiki/Bongbong_Marcos
123,Bob Taft,Person,https://vi.wikipedia.org/wiki/Bob_Taft
124,Bill Lee,Person,https://vi.wikipedia.org/wiki/Bill_Lee
125,Boris Tadić,Person,https://vi.wikipedia.org/wiki/Boris_Tadi%C4%87
126,Borut Pahor,Person,https://vi.wikipedia.org/wiki/Borut_Pahor
127,Boutros Boutros-Ghali,Person,https://vi.wikipedia.org/wiki/Boutros_Boutros-Ghali
128,Brian Cowen,Person,https://vi.wikipedia.org/wiki/Brian_Cowen
129,Brett Kavanaugh,Person,https://vi.wikipedia.org/wiki/Brett_Kavanaugh
130,Brigitte Bierlein,Person,https://vi.wikipedia.org/wiki/Brigitte_Bierlein
131,Brian Mulroney,Person,https://vi.wikipedia.org/wiki/Brian_Mulroney
132,Bronisław Komorowski,Person,https://vi.wikipedia.org/wiki/Bronis%C5%82aw_Komorowski
133,Benjamin Netanyahu,Person,https://vi.wikipedia.org/wiki/Benjamin_Netanyahu
134,Bạc Nhất Ba,Person,https://vi.wikipedia.org/wiki/B%E1%BA%A1c_Nh%E1%BA%A5t_Ba
135,Boris Nikolayevich Yeltsin,Person,https://vi.wikipedia.org/wiki/Boris_Nikolayevich_Yeltsin
136,Bạc Hy Lai,Person,https://vi.wikipedia.org/wiki/B%E1%BA%A1c_Hy_Lai
137,Boris Johnson,Person,https://vi.wikipedia.org/wiki/Boris_Johnson
138,C. Rajagopalachari,Person,https://vi.wikipedia.org/wiki/C._Rajagopalachari
139,Brett Giroir,Person,https://vi.wikipedia.org/wiki/Brett_Giroir
140,Brad Little,Person,https://vi.wikipedia.org/wiki/Brad_Little
141,Camille Pissarro,Person,https://vi.wikipedia.org/wiki/Camille_Pissarro
142,Brian Kemp,Person,https://vi.wikipedia.org/wiki/Brian_Kemp
143,Calvin Coolidge,Person,https://vi.wikipedia.org/wiki/Calvin_Coolidge
144,Bùi Kim Giai,Person,https://vi.wikipedia.org/wiki/B%C3%B9i_Kim_Giai
145,Carl Bildt,Person,https://vi.wikipedia.org/wiki/Carl_Bildt
146,Camilo José Cela,Person,https://vi.wikipedia.org/wiki/Camilo_Jos%C3%A9_Cela
147,Cao Hành Kiện,Person,https://vi.wikipedia.org/wiki/Cao_H%C3%A0nh_Ki%E1%BB%87n
148,Chaim Herzog,Person,https://vi.wikipedia.org/wiki/Chaim_Herzog
149,Carlos Prío Socarrás,Person,https://vi.wikipedia.org/wiki/Carlos_Pr%C3%ADo_Socarr%C3%A1s
150,Carlos Polistico García,Person,https://vi.wikipedia.org/wiki/Carlos_Polistico_Garc%C3%ADa
151,Charan Singh,Person,https://vi.wikipedia.org/wiki/Charan_Singh
152,Chandra Shekhar,Person,https://vi.wikipedia.org/wiki/Chandra_Shekhar
153,Charles G. Dawes,Person,https://vi.wikipedia.org/wiki/Charles_G._Dawes
154,Carole Bouquet,Person,https://vi.wikipedia.org/wiki/Carole_Bouquet
155,Charles Haughey,Person,https://vi.wikipedia.org/wiki/Charles_Haughey
156,Barack Obama,Person,https://vi.wikipedia.org/wiki/Barack_Obama
157,Chandrika Kumaratunga,Person,https://vi.wikipedia.org/wiki/Chandrika_Kumaratunga
158,Charles Joseph Bonaparte,Person,https://vi.wikipedia.org/wiki/Charles_Joseph_Bonaparte
159,Charles Michel,Person,https://vi.wikipedia.org/wiki/Charles_Michel
160,Charles W. Fairbanks,Person,https://vi.wikipedia.org/wiki/Charles_W._Fairbanks
161,Charles Villiers Stanford,Person,https://vi.wikipedia.org/wiki/Charles_Villiers_Stanford
162,Chavarat Charnvirakul,Person,https://vi.wikipedia.org/wiki/Chavarat_Charnvirakul
163,Cho Kuk,Person,https://vi.wikipedia.org/wiki/Cho_Kuk
164,Christian Stocker,Person,https://vi.wikipedia.org/wiki/Christian_Stocker
165,Christian Wulff,Person,https://vi.wikipedia.org/wiki/Christian_Wulff
166,Choi Kyu-hah,Person,https://vi.wikipedia.org/wiki/Choi_Kyu-hah
167,Charles-Maurice de Talleyrand-Périgord,Person,https://vi.wikipedia.org/wiki/Charles-Maurice_de_Talleyrand-P%C3%A9rigord
168,Christian Kern,Person,https://vi.wikipedia.org/wiki/Christian_Kern
169,Christine Lagarde,Person,https://vi.wikipedia.org/wiki/Christine_Lagarde
170,Chester A. Arthur,Person,https://vi.wikipedia.org/wiki/Chester_A._Arthur
171,Charles de Gaulle,Person,https://vi.wikipedia.org/wiki/Charles_de_Gaulle
172,Christopher A. Pissarides,Person,https://vi.wikipedia.org/wiki/Christopher_A._Pissarides
173,Charlie Baker,Person,https://vi.wikipedia.org/wiki/Charlie_Baker
174,Christopher A. Sims,Person,https://vi.wikipedia.org/wiki/Christopher_A._Sims
175,Christopher Stevens (đại sứ),Person,https://vi.wikipedia.org/wiki/Christopher_Stevens_%28%C4%91%E1%BA%A1i_s%E1%BB%A9%29
176,Chu Tiểu Xuyên,Person,https://vi.wikipedia.org/wiki/Chu_Ti%E1%BB%83u_Xuy%C3%AAn
177,Christopher Hitchens,Person,https://vi.wikipedia.org/wiki/Christopher_Hitchens
178,Che Guevara,Person,https://vi.wikipedia.org/wiki/Che_Guevara
179,Chuck Hagel,Person,https://vi.wikipedia.org/wiki/Chuck_Hagel
180,Chu Dung Cơ,Person,https://vi.wikipedia.org/wiki/Chu_Dung_C%C6%A1
181,Chun Doo-hwan,Person,https://vi.wikipedia.org/wiki/Chun_Doo-hwan
182,Ciriaco De Mita,Person,https://vi.wikipedia.org/wiki/Ciriaco_De_Mita
183,Chris Sununu,Person,https://vi.wikipedia.org/wiki/Chris_Sununu
184,Christopher Luxon,Person,https://vi.wikipedia.org/wiki/Christopher_Luxon
185,Chuan Leekpai,Person,https://vi.wikipedia.org/wiki/Chuan_Leekpai
186,Claudia Sheinbaum,Person,https://vi.wikipedia.org/wiki/Claudia_Sheinbaum
187,Clement Attlee,Person,https://vi.wikipedia.org/wiki/Clement_Attlee
188,Colin Powell,Person,https://vi.wikipedia.org/wiki/Colin_Powell
189,Cory Booker,Person,https://vi.wikipedia.org/wiki/Cory_Booker
190,D. H. Lawrence,Person,https://vi.wikipedia.org/wiki/D._H._Lawrence
191,Dag Hammarskjöld,Person,https://vi.wikipedia.org/wiki/Dag_Hammarskj%C3%B6ld
192,Daniel D. Tompkins,Person,https://vi.wikipedia.org/wiki/Daniel_D._Tompkins
193,Dan Brown,Person,https://vi.wikipedia.org/wiki/Dan_Brown
194,Clive Granger,Person,https://vi.wikipedia.org/wiki/Clive_Granger
195,Cristina Fernández de Kirchner,Person,https://vi.wikipedia.org/wiki/Cristina_Fern%C3%A1ndez_de_Kirchner
196,Daron Acemoğlu,Person,https://vi.wikipedia.org/wiki/Daron_Acemo%C4%9Flu
197,Cyril Ramaphosa,Person,https://vi.wikipedia.org/wiki/Cyril_Ramaphosa
198,Corazon Aquino,Person,https://vi.wikipedia.org/wiki/Corazon_Aquino
199,Chu Ân Lai,Person,https://vi.wikipedia.org/wiki/Chu_%C3%82n_Lai
200,Condoleezza Rice,Person,https://vi.wikipedia.org/wiki/Condoleezza_Rice
201,David Halberstam,Person,https://vi.wikipedia.org/wiki/David_Halberstam
202,Daniel McKee,Person,https://vi.wikipedia.org/wiki/Daniel_McKee
203,David Cameron,Person,https://vi.wikipedia.org/wiki/David_Cameron
204,Dean Heller,Person,https://vi.wikipedia.org/wiki/Dean_Heller
205,David Lloyd Johnston,Person,https://vi.wikipedia.org/wiki/David_Lloyd_Johnston
206,Dean Acheson,Person,https://vi.wikipedia.org/wiki/Dean_Acheson
207,Dean Rusk,Person,https://vi.wikipedia.org/wiki/Dean_Rusk
208,David Ige,Person,https://vi.wikipedia.org/wiki/David_Ige
209,David Card,Person,https://vi.wikipedia.org/wiki/David_Card
210,David Petraeus,Person,https://vi.wikipedia.org/wiki/David_Petraeus
211,Dick Cheney,Person,https://vi.wikipedia.org/wiki/Dick_Cheney
212,Deval Patrick,Person,https://vi.wikipedia.org/wiki/Deval_Patrick
213,Deborah Birx,Person,https://vi.wikipedia.org/wiki/Deborah_Birx
214,Diosdado Macapagal,Person,https://vi.wikipedia.org/wiki/Diosdado_Macapagal
215,Dominique Strauss-Kahn,Person,https://vi.wikipedia.org/wiki/Dominique_Strauss-Kahn
216,Donald Rumsfeld,Person,https://vi.wikipedia.org/wiki/Donald_Rumsfeld
217,Dominique de Villepin,Person,https://vi.wikipedia.org/wiki/Dominique_de_Villepin
218,Diệp Kiếm Anh,Person,https://vi.wikipedia.org/wiki/Di%E1%BB%87p_Ki%E1%BA%BFm_Anh
219,Donald Tusk,Person,https://vi.wikipedia.org/wiki/Donald_Tusk
220,Doug Burgum,Person,https://vi.wikipedia.org/wiki/Doug_Burgum
221,Douglass North,Person,https://vi.wikipedia.org/wiki/Douglass_North
222,Dr. Seuss,Person,https://vi.wikipedia.org/wiki/Dr._Seuss
223,Droupadi Murmu,Person,https://vi.wikipedia.org/wiki/Droupadi_Murmu
224,Dương Chấn Vũ,Person,https://vi.wikipedia.org/wiki/D%C6%B0%C6%A1ng_Ch%E1%BA%A5n_V%C5%A9
225,Doug Emhoff,Person,https://vi.wikipedia.org/wiki/Doug_Emhoff
226,Dries van Agt,Person,https://vi.wikipedia.org/wiki/Dries_van_Agt
227,Dmitry Anatolyevich Medvedev,Person,https://vi.wikipedia.org/wiki/Dmitry_Anatolyevich_Medvedev
228,Dwight D. Eisenhower,Person,https://vi.wikipedia.org/wiki/Dwight_D._Eisenhower
229,Dương Văn Minh,Person,https://vi.wikipedia.org/wiki/D%C6%B0%C6%A1ng_V%C4%83n_Minh
230,Earl Warren,Person,https://vi.wikipedia.org/wiki/Earl_Warren
231,Dương Đắc Chí,Person,https://vi.wikipedia.org/wiki/D%C6%B0%C6%A1ng_%C4%90%E1%BA%AFc_Ch%C3%AD
232,Dịch Hội Mãn,Person,https://vi.wikipedia.org/wiki/D%E1%BB%8Bch_H%E1%BB%99i_M%C3%A3n
233,Edwin Linkomies,Person,https://vi.wikipedia.org/wiki/Edwin_Linkomies
234,Edgars Rinkēvičs,Person,https://vi.wikipedia.org/wiki/Edgars_Rink%C4%93vi%C4%8Ds
235,Edmund Barton,Person,https://vi.wikipedia.org/wiki/Edmund_Barton
236,Earle Page,Person,https://vi.wikipedia.org/wiki/Earle_Page
237,Edvard Beneš,Person,https://vi.wikipedia.org/wiki/Edvard_Bene%C5%A1
238,Ed Rendell,Person,https://vi.wikipedia.org/wiki/Ed_Rendell
239,Doãn Lực,Person,https://vi.wikipedia.org/wiki/Do%C3%A3n_L%E1%BB%B1c
240,Ehud Barak,Person,https://vi.wikipedia.org/wiki/Ehud_Barak
241,Edwin Stanton,Person,https://vi.wikipedia.org/wiki/Edwin_Stanton
242,Doug Ducey,Person,https://vi.wikipedia.org/wiki/Doug_Ducey
243,Ellen Johnson Sirleaf,Person,https://vi.wikipedia.org/wiki/Ellen_Johnson_Sirleaf
244,Elpidio Quirino,Person,https://vi.wikipedia.org/wiki/Elpidio_Quirino
245,Elio Di Rupo,Person,https://vi.wikipedia.org/wiki/Elio_Di_Rupo
246,Elbridge Gerry,Person,https://vi.wikipedia.org/wiki/Elbridge_Gerry
247,Elias Canetti,Person,https://vi.wikipedia.org/wiki/Elias_Canetti
248,Elżbieta Bieńkowska,Person,https://vi.wikipedia.org/wiki/El%C5%BCbieta_Bie%C5%84kowska
249,Ehud Olmert,Person,https://vi.wikipedia.org/wiki/Ehud_Olmert
250,Elizabeth Warren,Person,https://vi.wikipedia.org/wiki/Elizabeth_Warren
251,Enrico De Nicola,Person,https://vi.wikipedia.org/wiki/Enrico_De_Nicola
252,Emilio Aguinaldo,Person,https://vi.wikipedia.org/wiki/Emilio_Aguinaldo
253,Enda Kenny,Person,https://vi.wikipedia.org/wiki/Enda_Kenny
254,Emmerson Mnangagwa,Person,https://vi.wikipedia.org/wiki/Emmerson_Mnangagwa
255,Enrico Letta,Person,https://vi.wikipedia.org/wiki/Enrico_Letta
256,Ernesto Zedillo,Person,https://vi.wikipedia.org/wiki/Ernesto_Zedillo
257,Enrique Peña Nieto,Person,https://vi.wikipedia.org/wiki/Enrique_Pe%C3%B1a_Nieto
258,Eric Holcomb,Person,https://vi.wikipedia.org/wiki/Eric_Holcomb
259,Eugenia Charles,Person,https://vi.wikipedia.org/wiki/Eugenia_Charles
260,Evelyn Waugh,Person,https://vi.wikipedia.org/wiki/Evelyn_Waugh
261,Ernst Kaltenbrunner,Person,https://vi.wikipedia.org/wiki/Ernst_Kaltenbrunner
262,Esther Duflo,Person,https://vi.wikipedia.org/wiki/Esther_Duflo
263,Ernest Lawrence,Person,https://vi.wikipedia.org/wiki/Ernest_Lawrence
264,Evika Siliņa,Person,https://vi.wikipedia.org/wiki/Evika_Sili%C5%86a
265,Ewa Kopacz,Person,https://vi.wikipedia.org/wiki/Ewa_Kopacz
