title,infobox_json
Đại học Osnabrück,{}
Đại học Harvard,"{""Loại"": ""Tư thục"", ""Khẩu hiệu"": [""Veritas"", ""["", ""1"", ""]"", ""(Chân lý)""], ""Thành lập"": ""1636 [ 2 ]"", ""Hiệu trưởng"": ""Lawrence Bacow"", ""Nhân viên"": ""4 671 (2019) [ 5 ]"", ""Giảng viên"": ""2.100 (2009) [ 6 ]"", ""Số Sinh viên"": ""18 819 (2019) [ 4 ]"", ""Dạng thời khóa biểu"": ""Học kỳ"", ""Khuôn viên"": ""Nội thị . Khuôn viên chính: 210 mẫu Anh (85 ha); khu y khoa: 21 mẫu Anh (8,5 ha); khu Allston: 360 mẫu Anh (150 ha); những nơi khác: 4.500 mẫu Anh (1.800 ha) [ 7 ]"", ""Màu"": ""Đỏ thắm"", ""Biệt danh"": ""Harvard Crimson"", ""Tài trợ"": ""53,2 tỉ USD (2021) [ 3 ]"", ""Tờ báo"": ""The Harvard Crimson"", ""Website"": ""Harvard .edu"", ""Sinh viên đại học"": ""6 669 (2019) [ 4 ]"", ""Sinh viên sau đại học"": ""13 120 (2019) [ 4 ]""}"
Đại học Göttingen,"{""Khẩu hiệu"": ""In publica commoda ( tiếng Latinh ) [ 2 ]"", ""Khẩu hiệu trong Tiếng Anh"": ""For the good of all"", ""Loại hình"": ""Đại học công lập"", ""Thành lập"": ""1734 ; 291 năm trước ( 1734 )"", ""Kinh phí"": ""1,438 tỷ euro [ 3 ]"", ""Viện trưởng"": ""Metin Tolan"", ""Giảng viên"": ""4,551 (2021) [ 4 ]"", ""Nhân viên quản lý"": ""8,825 (2021) [ 4 ]"", ""Sinh viên"": ""30,200 (2020–2021) [ 5 ]"", ""Nghiên cứu sinh"": ""713 (2021)"", ""Vị trí"": ""Göttingen , Niedersachsen , Đức"", ""Khuôn viên"": ""Làng đại học"", ""Màu"": ""Dark blue [ 6 ]"", ""Liên kết"": ""German Excellence Universities , Coimbra Group , U15 , EUA , U4 Network, Guild of European Research-Intensive Universities"", ""Website"": ""uni-goettingen .de""}"
Đại học Hamburg,"{""Khẩu hiệu"": ""Der Forschung, der Lehre, der Bildung"", ""Khẩu hiệu trong Tiếng Anh"": ""For research, for teaching, for education"", ""Loại hình"": ""Đại học công lập"", ""Thành lập"": ""1919 ; 106 năm trước ( 1919 )"", ""Liên kết học tập"": ""EUA , Campus Europae , German U15 , German Excellence Initiative"", ""Kinh phí"": ""700 triệu euro [ 2 ]"", ""Chưởng ấn"": ""Martin Hecht"", ""Viện trưởng"": ""Hauke Heekeren [ de ]"", ""Giảng viên"": ""15,331 [ 2 ]"", ""Nhân viên quản lý"": ""8,896 [ 2 ]"", ""Sinh viên"": ""42,819 [ 2 ]"", ""Nghiên cứu sinh"": ""5,898 [ 2 ]"", ""Vị trí"": ""Hamburg , Đức"", ""Khuôn viên"": ""Đô thị"", ""Màu"": [""Red and white""], ""Website"": ""uni-hamburg .de""}"
Đại học Princeton,"{""Loại"": ""Tư thục"", ""Khẩu hiệu"": [""Dei sub numine viget"", ""("", ""Trường phát triển dưới quyền lực của Chúa"", "")""], ""Thành lập"": ""1746"", ""Hiệu trưởng"": ""Christopher L. Eisgruber"", ""Nhân viên"": ""1.103"", ""Khuôn viên"": ""ngoại thành , 500 acre (2.0 km ²)"", ""Biệt danh"": ""Lion"", ""Tài trợ"": ""$11,3 tỉ đôla Mỹ [ 1 ]"", ""Thể thao"": ""38 đội thể thao"", ""Website"": ""www.princeton.edu"", ""Phó hiệu trưởng"": ""Hilary A. Parker"", ""Sinh viên đại học"": ""4.635"", ""Sinh viên sau đại học"": ""1.975""}"
Đại học bang Ohio,"{""Loại"": ""Đại học Công lập"", ""Khẩu hiệu"": [""Disciplina in civitatem"", ""("", ""Latin"", "")"", ""(Education for Citizenship)""], ""Thành lập"": ""1870"", ""Hiệu trưởng"": ""E. Gordon Gee [ 3 ]"", ""Nhân viên"": ""5,584 giảng viên, 21,693 nhân viên [ 2 ]"", ""Số Sinh viên"": ""55,014 (Columbus), 63,217 (tất cả cơ sở) [ 2 ]"", ""Dạng thời khóa biểu"": ""Quarter"", ""Khuôn viên"": [""1.762 mẫu Anh (7 km"", ""2"", "") Cơ sở Columbus"", ""15.904 mẫu Anh (64 km"", ""2"", "") toàn bộ ("", ""Đô thị"", "")"", ""["", ""2"", ""]""], ""Màu"": ""đỏ tươi và xám"", ""Linh vật"": ""Brutus Buckeye"", ""Biệt danh"": ""Buckeyes"", ""Tài trợ"": ""US $ 1.65 tỷ [ 1 ]"", ""Thể thao"": ""19 đội nam và 20 đội nữ"", ""Website"": ""www.osu.edu"", ""Sinh viên đại học"": ""38,479 (Columbus), 46,690 (tất cả cơ sở)"", ""Sinh viên sau đại học"": ""13,339 (Columbus), 13,657 (tất cả cơ sở) [ 4 ]""}"
Đại học Nam California,"{""Khẩu hiệu"": ""tiếng Latinh : Palmam qui meruit ferat"", ""Khẩu hiệu trong Tiếng Anh"": ""\""Let whoever earns the palm bear it\"""", ""Loại hình"": ""Đại học nghiên cứu tư thục"", ""Thành lập"": ""6 tháng 10 năm 1880 ; 145 năm trước ( 1880-10-06 )"", ""Công nhận"": ""WSCUC"", ""Tôn giáo"": ""Không giáo phái, từng là Phong trào Giám lý"", ""Liên kết học tập"": ""Hiệp hội Viện Đại học Mỹ APRU NAICU [ 1 ] UARC Sea-grant Space-grant"", ""Tài trợ"": ""8,2 tỷ đô la Mỹ (2024) [ 2 ]"", ""Kinh phí"": ""7,4 tỷ đô la Mỹ (2023–24) [ 3 ]"", ""Viện trưởng"": ""Carol Folt [ 4 ]"", ""Phó hiệu trưởng"": ""Andrew T. Guzman"", ""Giảng viên"": ""4,767 (2023) [ 3 ]"", ""Nhân viên quản lý"": ""18,123 (2023) [ 3 ]"", ""Sinh viên"": ""49,318 (2021) [ 5 ]"", ""Sinh viên đại học"": ""20,790 (2021) [ 5 ]"", ""Sinh viên sau đại học"": ""28,528 (2021) [ 5 ]"", ""Vị trí"": [""Los Angeles"", "","", ""California"", "","", ""Hoa Kỳ"", ""34°01′14″B"", ""118°17′05″T"", ""﻿ / ﻿"", ""34,0206°B 118,2848°T"", ""﻿ /"", ""34.0206; -118.2848""], ""Khuôn viên"": [""University Park campus, 226 mẫu Anh (0,91 km"", ""2"", "")"", ""["", ""6"", ""]"", ""Health Sciences campus, 79 mẫu Anh (0,32 km"", ""2"", "")"", ""["", ""7"", ""]""], ""Other campuses"": ""Alhambra Sacramento Washington D.C."", ""Tờ báo"": ""Daily Trojan"", ""Màu"": [""Cardinal and gold"", ""["", ""8"", ""]"", ""["", ""9"", ""]""], ""Biệt danh"": ""Trojans"", ""Liên kết thể thao"": ""NCAA Division I FBS – Big Ten ACHA MPSF"", ""Linh vật"": ""Traveler [ 10 ] Tommy Trojan (unofficial)"", ""Website"": ""usc .edu""}"
Đại học Tài chính thuộc Chính phủ Liên bang Nga,{}
Đại học Rostock,{}
Đại học Pennsylvania,"{""Khẩu hiệu"": ""Laws without morals are useless (Luật pháp mà không tuân theo Đạo đức thì vô dụng)"", ""Loại hình"": ""˞ Đại học tư thục , Phi lợi nhuận , Viện Đại học nghiên cứu"", ""Thành lập"": ""14 tháng 11 năm 1740 ( 1740-11-14 ) [ note 1 ]"", ""Sáng lập"": ""Benjamin Franklin"", ""Tài trợ"": ""$14,7 tỷ (2019) [ 4 ]"", ""Kinh phí"": ""$3,5 tỷ (2020) [ 5 ]"", ""Viện trưởng"": ""Amy Gutmann"", ""Phó hiệu trưởng"": ""Wendell Pritchett"", ""Board Chairman"": ""David L. Cohen [ 6 ]"", ""Giảng viên"": ""4.793 (2018) [ 7 ]"", ""Sinh viên"": ""21.960 (2018) [ 7 ]"", ""Sinh viên đại học"": ""10.605 (2018) [ 7 ]"", ""Sinh viên sau đại học"": ""11.355 (2018) [ 7 ]"", ""Vị trí"": ""Philadelphia , Pennsylvania , Hoa Kỳ"", ""Khuôn viên"": [""Thành thị, Tổng cộng 1.085 mẫu Anh (4,39 km"", ""2"", ""):"", ""299 mẫu Anh (1,21 km"", ""2"", ""), khuôn viên"", ""University City"", "";"", ""694 mẫu Anh (2,81 km"", ""2"", ""),"", ""Trung tâm New Bolton"", "";"", ""92 mẫu Anh (0,37 km"", ""2"", ""),"", ""Morris Arboretum""], ""Màu"": [""Đỏ và Xanh dương"", ""["", ""8"", ""]""], ""Điền kinh"": [""NCAA Division I"", ""–"", ""Ivy League"", ""Philadelphia Big 5"", ""City 6""], ""Biệt danh"": ""Quakers"", ""Liên kết"": [""AAU"", ""COFHE"", ""NAICU"", ""568 Group"", ""URA""], ""Website"": ""upenn .edu""}"
