id,name,label,wiki_url,1981–1984,1984–1985,1985–1986,1986–1987,1987,1987–1988,1987–2003,1988–1992,1992–1995,1995–2000,2000,2000–2001,2001–2003,2013–2015,2013–2018,2013–2019,2015–2019,2018–2019,2019,2019 đến nay,2019–2020,2020 đến nay,2020–2021,2022 đến nay,Alma mater,An nghỉ,An táng,Anh chị em,Bang vụ khanh,Biệt danh,Bí thư,Bí thư Thành ủy,Bí thư Tỉnh ủy,Bí thư thứ nhấtBan Bí thư,Bí thư Đảng ủy Bộ,Bính âm Hán ngữ,Bút danh,Bạn đời,Bảo trợ,Bổ nhiệm,Bổ nhiệm bởi,Bộ trưởng,Bộ trưởng Quốc phòng,Cha,Cha mẹ,Chief Minister,Chief Ministers,Chief Whip,Chiều cao,Chosŏn'gŭl,Chuyên môn,Chuyển tự,Chánh án,Chân phước,Chỉ huy,Chịu ảnh hưởng của,Chồng,Chủ nhiệm,Chủ tịch,Chủ tịch Chính phủ Quốc dân,Chủ tịch Hạ viện,Chủ tịch Hội đồng,Chủ tịch Hội đồng Nhân dân,Chủ tịch Mặt trận,Chủ tịch Quân ủy,Chủ tịch Quốc hội,Chủ tịch Thượng viện,Chủ tịch nước,Chủ tịch Đảng,Chủ tịch Ủy ban,Chủ tịch(Thủ tướng),Chủ đề,Chức bộ trưởng,Chức bộ trưởng1908–1929,Chức bộ trưởng1939–1952,Chức nghị sĩ,Chức quan,Chức vị,Chức vụ cao cấp,Chức vụ khác,Chức vụ quan trọng khác,Chữ ký,Con cái,Các chức khác,Các chức vụ chính phủ,Các chức vụ khác,Các nghiên cứu sinh nổi tiếng,Các nút Play,Các sinh viên nổi tiếng,"Cán bộ điều hành,PEC",Có tác phẩm trong,Công dân,Công nhận,Công trình tiêu biểu,Công việc trước đó,Cùng với,Cư trú,Cấp bậc,Cấp phó,Cố vấn Nhà nước,Cố vấn nhà nước,Danh hiệu,Deputy,Dân tộc,Dạng thời khóa biểu,First Deputy,Führer,Führer/Tổng thống,General Secretary,Gia quyến,Gia tộc,Gia đình,Giai đoạn sáng tác,Giáo dục,Giáo hội,Giáo phận,Giáo tỉnh,Giải thưởng,Giải thưởng nổi bật,Giảng viên,Giản thể,Giới tính,Hancha,Hangul,Hanja,Head,Head of Government,Hiragana,Hiệu trưởng,Hoàng tộc,Hoàng đế,Hán-Việt,Hãng đĩa,Hôn nhân,Hạng,Hậu duệ,Hết nhiệm,Hệ phái,Họ hàng,Học kỳ,Học sinh,Học vấn,Học vị,Hợp tác với,IPA,Julie Payette,Junior ministerial offices,Kanji,Katakana,Khu bầu cử,Khu vực,Khu vực bầu cử,Khuôn viên,Khẩu hiệu,Khẩu hiệu trong Tiếng Anh,Kế nhiệm,Latinh hóa,Latinh hóa Yale,Linh vật,Liên kết học tập,Liên kết thể thao,Location,Loại,Loại giọng,Loại hình,Luận án,Lãnh tụ Tối cao,Lãnh tụ tối cao,Lãnh đạo,Lĩnh vực,Lương bổng,Lượt đăng ký,Lễ kính,McCune–Reischauer,Ministry,Muhammad Yunus,Màu,Mãn nhiệm,Mất,Mẹ,National Chair,Net worth,Nghiên cứu sinh,Nghề nghiệp,Nghỉ hưu,Nghị phó,Nguyên nhân,Nguyên nhân mất,Nguyên quán,Ngành,Ngành phụ,Ngày an táng,Ngày mất,Ngày sinh,Ngôn ngữ,Người bảo trợ,Người hướng dẫn luận án tiến sĩ,Người phối ngẫu,Người thân,Người tình,Nhiếp chính,Nhiệm kỳ,Nhà tuyển dụng,Nhân viên,Nhân viên quản lý,Nhạc cụ,Năm,Năm hoạt động,Năm tại ngũ,Năm tại ngũ,Nơi an nghỉ,Nơi an táng,Nơi công tác,Nơi cư ngụ,Nơi cư trú,Nơi mất,Nơi sinh,Nơi ở,Nổi tiếng vì,Nổi tiếng vì,Nội các,Nữ hoàng,Nữ hoàng/Vua,Nữ vương,POJtiếng Mân Tuyền Chương,Phiên âm,Phong thánh,Phát ngôn nhân,Phê phán,Phó Bí thư,Phó Chủ nhiệm,Phó Chủ tịch,Phó Chủ tịch nước,Phó Giám đốc,Phó Hiệu trưởng thứ nhất,Phó Thị trường,Phó Thị trưởng,Phó Thống đốc,Phó Thủ tướng,Phó Thủ tướng thứ nhất,Phó Thủ tướng Đức,Phó Trưởng ban,Phó Tư lệnh kiêm Tham mưu trưởng,Phó Tổng Bí thư,Phó Tổng Giám đốc,Phó Tổng Tham mưu trưởng,Phó Tổng lý,Phó Tổng thống,Phó Tổng thống thứ hai,Phó Tổng thống thứ nhất Zimbabwe,Phó chủ nhiệm,Phó chức,Phó hiệu trưởng,Phó thị trưởng,Phó thống đốc,Phó thủ tướng,Phó tổng thống,Phó Ủy viên trưởng,Phù hiệu,Phù hiệu sứ mệnh,Phối ngẫu,Phồn thể,Phụ tá Tổng trưởngĐổng lý Văn phòng,Phục vụ,Positions,Quan hệ,Quan thầy của,Quan tâm chính,Quyền Tổng Tham mưu trưởng,Quân chủ,Quân chủng,Quê quán,Quốc trưởng,Quốc tịch,Quốc vương,Romaja quốc ngữ,Rōmaji,Rửa tội,Secretary-General,Sinh,Sinh viên,Sinh viên nổi bật,Sinh viên sau đại học,Sinh viên đại học,Sáng lập,Số Sinh viên,Số phiếu,Số quân chủng,Sứ mệnh,Taoiseach,Tham chiến,Thiên hoàng,Thuộc,Thành lập,Thành viên của,Thành viên của hội đồng,Thánh hiệu,Thân mẫu,Thân phụ,Thăng Hồng y,Thư ký đảng,Thường trực Ban Bí thư,Thầy giáo,Thể loại,Thị trưởng,Thống đốc,Thời gian trong không gian,Thời kỳ,Thụ phong,Thụ phong Linh mục,Thủ hiến,Thủ tướng,Thứ trưởng,Thứ trưởng (6),Tiếng Trung,Tiền lương,Tiền nhiệm,Toàn quyền,Trang web,Trang web chính thức,Trào lưu,Trường học,Trường lớp,Trường phái,Trường theo học,Trưởng ban,Trữ quân,Tuyên khấn,Tuyển chọn,Tài sản,Tài trợ,Tác phẩm,Tác phẩm nổi bật,Tác phẩm đáng chú ý,Tác phẩm nổi bật,Tánaiste,Tâi-lô,Tên bản ngữ,Tên chính thức,Tên khai sinh,Tên khác,Tên đầy đủ,Tình trạng kết hôn,Tòa,Tôn giáo,Tư cách công dân,Tư lệnh Hành quân,Tư tưởng nổi bật,Tại vị,Tấn phong,Tấn phong Giám mục,Tặng thưởng,Tặng thưởng dân sự,Tặng thưởng quân sự,Tỉ lệ,Tổ chức,Tổng Bí thư,Tổng Giám đốc,Tổng Tham mưu trưởng,Tổng Thanh tra,Tổng Thư ký,Tổng Tư lệnh,Tổng cộng,Tổng giám đốc,Tổng lý,Tổng lý Quốc vụ viên,Tổng lý Quốc vụ viện,Tổng lượt xem,Tổng thư ký,Tổng thống,Tổng tư lệnh quân đội,Tổng-Thư ký,Tờ báo,Tựu nhiệm,Vai diễn,Vice President,Vinh thăng Hồng y,Viện trưởng,Viện trưởng Hành chính viện,Việt bính,Vua,Vua/Nữ hoàng,Vùng,Văn phòng Bộ,Văn phòng Quốc hội,Vương tộc,Vị trí,Vợ,Vợ/chồng,Wade–Giles,Website,Whip,nhậm chức cùng,Ý tưởng tiêu biểu,Đào tạo,Đóng góp,Đăng quang,Đơn vị,Đương nhiệm,Đại biểu Quốc hội,Đại diện,Đại sứ,Đảng chính trị,Đảng khác,Đảng phái chính trị,Đặc khu trưởng,Đề cử,Đề cử bởi,Đền chính,Đệ nhất Tổng tài,Đối tượng chính,Đồng Thủ tướng,Đồng chủ tịch,Đồng tại nhiệm,Đồng tại vị,Đứng đầu,Ảnh hưởng bởi,Ảnh hưởng tới,Ủy viên trưởng,Ủy viên trưởng Nhân Đại
534,Jim Justice,Person,https://vi.wikipedia.org/wiki/Jim_Justice,,,,,,,,,,,,,,,,,,,,,,,,,"Đại học Marshall (BA, MBA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jay Justice, Jill Justice",,,,,,,,,,,,,,,,,,,,,Người Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cử nhân Nghệ thuật , Thạc sĩ Quản trị kinh doanh",,,,,,,,,,,,,,đương nhiệm,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chính trị gia,,,,,,,,,,,,,,,,,,"16 tháng 1; năm; 2017; 8 năm, 285 ngày –",,,,,,,,,,,,,,,,"Lewisburg, West Virginia",,,,,,,,,,,,,,,,,,,,Mitch Carmichael; Craig Blair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoa Kỳ,,,,,,"tháng 4, 1951 (74 tuổi); Charleston, West Virginia; ,; Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earl Ray Tomblin,,,,,,,,,,,,,"1,6 tỷ USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Virginia,Cathy Comer (1975),,,WestVirginia Goverment,,,,,,,,,,,,"Đảng Cộng hòa (trước 2015, sau 2017)",Đảng Dân chủ (2015 – 2017),,,,,,,,,,,,,,,,
535,John C. Breckinridge,Person,https://vi.wikipedia.org/wiki/John_C._Breckinridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7, bao gồm Clifton và Mary",,,,,,,,,,,,,,,Thiếu tá; (U.S.); Thiếu tướng; (C.S.),,,,,,,,,,,,,,,,Centre College; (; BA; ); Đại học Princeton; Đại học Transylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexander Marshall,,,,,,,,,,,,,,,,,,,,,,,"17 tháng 5, 1875; (1875-05-17); (54 tuổi); Lexington, Kentucky,; Hoa Kỳ",,,,,,,,,,,,,,,,,,,,Cabell Breckinridge (Cha),,,,,,,,,,,1847–1848 (; U.S.; ); 1861–1865 (; C.S.; ),Nghĩa trang Lexington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mary Burch,,,Lục quân Hoa Kỳ; Lục quân Liên minh miền Nam,,,,,,,,,,,,,,,,"John Cabell Breckinridge; (; 1821-01-16; ); 16 tháng 1, 1821; Lexington, Kentucky; ,; Hoa Kỳ",,,,,,,,,,,Chiến tranh Hoa Kỳ - Mexico; Nội chiến Hoa Kỳ; •; Battle of Shiloh; •; Battle of Baton Rouge; •; Battle of Stones River; •; Battle of Jackson; •; Battle of Chickamauga; •; Chattanooga Campaign; •; Battle of New Market; •; Battle of Cold Harbor; •; Battle of Piedmont; •; Battle of Lynchburg; •; Battle of Monocacy; •; Battle of Bull's Gap; •; Battle of Marion,,Hoa Kỳ; Liên minh miền Nam Hoa Kỳ,,,,,,,,,,,,,,,,,,,,,,,,Charles Morehead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jefferson Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dân chủ,,,,,,,,,,,,,,,,,
536,John Bel Edwards,Person,https://vi.wikipedia.org/wiki/John_Bel_Edwards,,,,,,,,,,,,,,,,,,,,,,,,,Học viện Quân sự Hoa Kỳ; (BS); Đại học Bang Louisiana; (JD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Tucker; Chuck Kleckley,,,,,,,,,,,,,,,,,,,,,,,,"Sarah Ellen Edwards, Samantha Bel Edwards, John Miller Edwards",,,,,,,,,,,,,,,Đại úy,,,,,,Người Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cử nhân Kỹ thuật, Tiến sĩ Luật",,,,,,,,,,,,,,Robby Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luật gia; Chính trị gia,,,,,,,,,,,,,,,,,,14 tháng 1 năm 2008 – 10 tháng 12 năm 2015,,,,,,,1988 – 1996,,,,,,,,,Trụ sở Chính phủ Louisiana,,,,,,,,,,,,,,,,,,,,Billy Nungesser,,,,,,,,,,,,,,,,,,,,,,,,,,Lục quân Hoa Kỳ,,,,,,,,,,Hoa Kỳ,,,,,,"tháng 9, 1966 (59 tuổi); Đông Baton Rouge; ,; Louisiana; ,; Hoa Kỳ",,,,,,,,,,,,,Hoa Kỳ,,,,,,,,,,,,,,,,,,,,,,,,Robby Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Louisiana,Donna Hutto (từ 1989),,,Louisiana Goverment,,,,,,,Sư đoàn Bộ bịnh; Sư đoàn Dù 82,,,,,Đảng Dân chủ,,,,,,,,,,,,,,,,,
537,John Dramani Mahama,Person,https://vi.wikipedia.org/wiki/John_Dramani_Mahama,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lâu đài Osu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Akati Saaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lordina Mahama,,,,,,,,,,,,,,,,,,,"29 tháng 11, 1958; (66 tuổi); Damongo; ,; Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahama Jeduah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jerry Rawlings,,,,,,,,,,,,,,,,,,,,,Presidency website,,,,,,,,,,,,Đại hội Dân chủ Dân tộc,,,,,,,,,,,,,,,,,
538,John C. Calhoun,Person,https://vi.wikipedia.org/wiki/John_C._Calhoun,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Yale; Tapping Reeve Law School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eldred Simkins,,,,,,,,,,,,,,,,,,,,,,,"31 tháng 3, 1850; (1850-03-31); (68 tuổi); Washington, D.C.; , Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nhà thờ Tháng Philip ở Charleston , Nam Carolina, Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Floride Calhoun,,,,,,,,,,,,,,,,,,,"John Caldwell Calhoun; (; 1782-03-18; ); 18 tháng 3, 1782; Abbeville; , Nam Carolina,; Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joseph Calhoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic (1839–1850),Democratic-Republican; (trước 1825); Nullifier; (1828–1839),,,,,,,,,,,,,,,,
539,John Adams,Person,https://vi.wikipedia.org/wiki/John_Adams,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Harvard,,,,,,,,,,,,,,,,Đệ nhị Quốc hội Lục địa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abigail Adams Smith; John Quincy Adams; Susanna; Charles Adams; Thomas Boylston Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chức vụ bãi bỏ,,,,,,,,,,,,,,,,,,,,,,,"4 tháng 7; năm; 1826; (90 tuổi); Quincy; ,; Massachusetts; ,; Hoa Kỳ",,,,,Luật sư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Jefferson,,,,Abigail Smith Adams,,,,,,,,,,,,,,,,,,,"19 tháng 10; năm; 1735; Quincy; ,; Massachusetts; ,; Bắc Mỹ thuộc Anh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silas Deane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đảng Liên bang,,,,,,,,,,,,,,,,,
540,Jerome Adams,Person,https://vi.wikipedia.org/wiki/Jerome_Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,Phó Đô đốc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Đại học Maryland, Hạt Baltimore; (; BA; ,; BS; ); Đại học Indiana, Indianapolis; (; MD; ); Đại học California, Berkeley; (; MPH; )",,,,,,,,,,,,,,Kristina Box [ 2 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ngày 22 tháng 10 năm 2014 – ngày 5 tháng 9 năm 2017,,,,,,,2017–nay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đoàn Ủy nhiệm PHS,,,,,,,,,,,,,,,,"22 tháng 9, 1974; (51 tuổi); Orange, New Jersey; , Mỹ",,,,,,,,,,,,,Hoa Kỳ,,,,,,,,,,,,,,,,,,,,,,,,William VanNess [ 1 ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Độc lập,,,,,,,,,,,,,,,,,
541,John Foster Dulles,Person,https://vi.wikipedia.org/wiki/John_Foster_Dulles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas E. Dewey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2, bao gồm Avery , John",,,,,,,,,,,,,,,Thiếu tá,,,,,,,,,,,,,,,,Đại học Princeton; (; BA; ); Đại học George Washington; (; LLB; ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herbert H. Lehman,,,,,,,,,,,,,,,,,,,,,,,"24 tháng 5, 1959; (1959-05-24); (71 tuổi); Washington, D.C.; , Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Janet Pomeroy Avery; (cưới 1912⁠–⁠his death1959),,,Lục quân Hoa Kỳ,,,,,,,,,,,,,,,,"(; 1888-02-25; ); 25 tháng 2, 1888; Washington, D.C.; ,; Hoa Kỳ",,,,,,,,,,,,,Hoa Kỳ,,,,,,,,,,,,,,,,,,,,,,,,Robert F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dwight D. Eisenhower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cộng hòa,,,,,,,,,,,,,,,,,
542,John Diefenbaker,Person,https://vi.wikipedia.org/wiki/John_Diefenbaker,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Saskatchewan,,,,,"""Dief"", ""The Chief""",,,,,,,,,,,,,,,,,,,,,Luật sư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,không [ 1 ],,,,,,,,,,,,,,,Lieutenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lester Pearson,,,,,,,,,,,,,,,,,,,,,,,"16 tháng 8, 1979; (1979-08-16); (83 tuổi); Ottawa; , Ontario, Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916–1917,"Bên ngoài Diefenbaker Canada Centre , Saskatoon , Saskatchewan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edna Brower (1929–1951; qua đời) Olive Palmer (1953–1976; qua đời),,,Quân đội Canada,,,,,,Elizabeth II,,,,,,,,,,"John George Diefenbaker; (; 1895-09-18; ); 18 tháng 9, 1895; Neustadt, Ontario; , Canada",,,,,,,,,,,Chiến tranh thế giới thứ nhất,,Canada,,,,,,,,,,,,,,,,,,,,,,,,Louis St. Laurent,Vincent Massey; Georges Vanier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196th Battalion,,,,,Progressive Conservative,,,,,,,,,,,,,,,,,
543,John Gorton,Person,https://vi.wikipedia.org/wiki/John_Gorton,,,,,,,,,,,,,,,,,,,,,,,,,"Đại học Brasenose, Oxford",,,,,,,,,,,,,,,,,,,,,,,,,,Chính trị gia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,Trung uý,,,,,,,,,,,,,,,,Trường Ngữ pháp Giáo hội Anh Sydney; Trường Ngữ pháp Geelong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roger Shipton,,,,,,,,,,,,,,,,,,,,,,,"19 tháng 5; năm; 2002; (90 tuổi); Sydney; ,; New South Wales; ,; Úc",,,,,Nông dân,,,,,,,,,,,,,,,,,,,,,,,,,,1940–1944,"Nghĩa trang Tổng hợp Melbourne , Victoria , Úc",,,,,,,,,,,Elizabeth II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bettina Brown; (cưới 1935⁠–⁠; wid.; 1983); Nancy Home; (cưới 1993⁠–⁠; wid.; 2002),,,Không quân Hoàng gia Úc,,,,,,,,,,,,,,,,"John Grey Gorton; 9 tháng 9; năm; 1911; Wellington; ,; Đại Wellington; ,; New Zealand",,,,,,,,,,,Chiến tranh thế giới thứ hai,,Úc,,,,,,,,,,,,,,,,,,,Robert Menzies,,,,,Harold Holt,Lord Casey; Sir Paul Hasluck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No. 61 Operational Training Unit RAF No. 232 Squadron RAF No. 77 Squadron RAAF No. 2 Operational Conversion Unit RAAF,,,,,Độc lập (Sau 1975),Đảng Quốc gia; (Đến 1949); Đảng Tự do; (1949–1975),,,,,,,,,,,,,,,,
544,John Glenn,Person,https://vi.wikipedia.org/wiki/John_Glenn,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Muskingum ( B.S. 1962),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colonel,,,,,,,,,,,,,,,,,,,,Bản mẫu:Presidential Medal of Freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William V. Roth Jr.,,,,,,,,,,,,,,,,,,,,,,,"8 tháng 12, 2016; (2016-12-08); (95 tuổi); Columbus, Ohio; , Hoa Kỳ",,,,,Test pilot,ngày 16 tháng 1 năm 1964,,,,,,,,,,,,,,,,,ngày 3 tháng 1 năm 1987 – ngày 3 tháng 1 năm 1995,,,,,,,1941–1965,,,,,,,,,"Columbus, Ohio [ 1 ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States Navy United States Marine Corps,,,,,,,,,,Mỹ,,,,,,"(; 1921-07-18; ); 18 tháng 7, 1921; Cambridge; ,; Ohio; , Hoa Kỳ",,,,,,,,,STS-95,,Chiến tranh thế giới thứ hai Chiến tranh Triều Tiên,,Hoa Kỳ,,,,,,,,,,,,,,9d 2h 39m,,,,,,,,,,William V. Roth Jr.,,,,,,,,,,,,1959 NASA Group 1,,,,,,,,,,,,"John Herschel Glenn, Jr.",,,,Presbyterian,,,,,,,Distinguished Flying Cross × 6 Air Medal Presidential Unit Citation Navy Unit Commendation American Campaign Medal Asiatic-Pacific Campaign Medal World War II Victory Medal China Service Medal Navy Occupation Service Medal National Defense Service Medal Korean Service Medal United Nations Korea Medal South Korea Presidential Unit Citation Congressional Gold Medal Presidential Medal of Freedom Congressional Space Medal of Honor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMJ-353 VMF-155 VMF-218 VMA-311 4th Fighter Wing 51st Fighter Wing,,,,,Đảng Dân chủ,,,,,,,,,,,,,,,,,
545,John Henry Newman,Person,https://vi.wikipedia.org/wiki/John_Henry_Newman,,,,,,,,,,,,,,,,,,,,,,,,,"Trường Trinity , Viện Đại học Oxford",,,,,,,,,,,,,,,12 tháng 5 năm 1879,,,,,John Newman (cha) Jemina Fourdrinier (mẹ),,,,,,,,,"19 tháng 9 năm 2010; Công viên Cofton; ,; Birmingham; ,; Anh; bởi Giáo hoàng; Benedictus XVI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hội viên quản trị Trường Oriel thuộc Viện Đại học Oxford Bề trên Tu đoàn Oratôriô Birmingham,,,,,,,,,,,,,,Hồng y đẳng phó tế,,,,,,,,,,,,,,,,,Giáo hội Công giáo,,,,,,,,,,,,,,,,,,,,,,11 tháng 8 năm 1890,"Giáo hội Anh; (1824–1845),; Giáo hội Công giáo; (1845–1890)",,,,,,,,,,,,,,,,Cor ad cor loquitur (Trái tim nói với trái tim),,Francis Aidan Gasquet,,,,,,,,,,,,,,,,,9 tháng 10 (Công giáo Rôma); 11 tháng 8 (Anh giáo),,,,,,"11 tháng 8 năm 1890; (1890-08-11); (89 tuổi); Edgbaston; ,; Birmingham; , Anh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nghĩa trang Oratory Retreat, Rednal, West Midlands , Anh",,,,,,,,,,,,,,,"13 tháng 10 năm 2019; Quảng trường Thánh Phêrô; ,; Vatican; bởi Giáo hoàng; Franciscus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giáo hạt tòng nhân Đức Mẹ Walsingham,,,,,,,,,,,,,"(; 1801-02-21; ); 21 tháng 2 năm 1801; London; , Anh",,,,,,,,,,,,,,,,,Tiến sĩ Hội thánh,,,12 tháng 5 năm 1879; bởi Giáo hoàng; Leo XIII,,,,,,,,,29 tháng 5 năm 1825 (linh mục Anh giáo); 30 tháng 5 năm 1847 (linh mục Công giáo),,,,,,,,Tommaso Martinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nhà nguyện Birmingham,,,,,,,,,,,
