id,name,label,wiki_url,Acronym,Anthem,Athletics,Badges,Biệt danh,Board Chairman,Bài hát,Báo,Báo chí,Báo trường,Bí thư Đảng,Bí thư Đảng ủy,Bính âm Hán ngữ,Bính âm Thông dụng,Bộ phận của,Chú âm phù hiệu,Chưởng ấn,Chỉ huynổi tiếng,Chủ tịch,Chủ tịch Hội đồng trường,Các khuôn viên khác,Công nhận,Diện tích sàn,Du học sinh,Dạng thời khóa biểu,Former pupils,Giám đốc,Giáo viên,Giảng viên,Giản thể,Giới tính theo học,Hangul,Hanja,Head Master,Hiệu ca,Hiệu trưởng,Hiệu trưởng danh dự,Hoàn thành,Hoạt động,Hình thức đào tạo,Học kỳ,Học phí,Hội đồng trường,IPA,Khu vực,Khuôn viên,Khuôn viên khác,Khẩu hiệu,Khẩu hiệu trong Tiếng Anh,Kinh phí,Kỷ yếu,Latinh hóa Yale,Latinh hóatiếng Thượng Hải,Linh vật,Liên kết,Liên kết học tập,Liên kết thể thao,Loại,Loại hình,Loại trường,McCune–Reischauer,Màu,Mã trường,Newspaper,Nghiên cứu sinh,Ngân sách,Ngôn ngữ,Người đoạt giải Nobel,Nhà,Nhà xuất bản đại học,Nhân viên,Nhân viên quản lý,Những khuôn viên khác,Năm thành lập,Other campuses,Other campuses[9],Phiên âm,Phân loại,Phó giám đốc,Phó hiệu trưởng,Phó hiệu trưởng và Chủ tịch,Phó viện trưởng,Phồn thể,Phục vụ,Pro-chancellor,Publications,Quân chủng,Quốc gia,Rector,Rector Magnificus,Rector magnificusvàVice Chancellor,Romaja quốc ngữ,Satellite Campuses,Sinh viên,Sinh viên chuyên nghiệp,Sinh viên khác,Sinh viên sau đại học,Sinh viên đại học,Sports teams,Superintendent,Sáng lập,Số Sinh viên,Số cơ sở,Số học sinh,Số tham khảo,Số tầng,Thành lập,Thành lập bởi,Thành viên,Thành viên của,Thể thao,Tiêu chuẩn,Trang web,Trạng thái,Trụ sở chính,Tài trợ,Tên chính thức,Tên cũ,Tên khác,Tính đến sàn cao nhất,Tôn giáo,Tôn giáo liên kết,Tạp chí sinh viên,Tỉ lệ học sinh/giáo viên,Tọa độ,Tổ chức mẹ,Tổ chức quyên góp,Tổng nhân viên,Tờ báo,Vice Provost for Student Affairs & Dean of Student,Visitor,Viết tắt,Viện trưởng,Việt bính,Vị trí,Wade–Giles,Webometrics(2020),Website,Xuất bản,Điền kinh,Đề cử,Địa chỉ,Địa điểm,Độ tuổi theo học,• Khác
108,Đại học Tiểu bang Kansas,University,https://vi.wikipedia.org/wiki/Kansas_State_University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Đại học New York,University,https://vi.wikipedia.org/wiki/New_York_University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,PSL Research University,University,https://vi.wikipedia.org/wiki/PSL_Research_University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urban,,,,€750 million (2016),,,,,,,,,,,,,,,,,,,,,,"2,900",,,,,,,,,,,,,,,,,,,,,,"17,000",,,,,,,,,,,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,El Mouhoub Mouhoud,,Paris ( France ),,,psl .eu,,,,,,,
148,Viện Nghiên cứu Chính trị Paris,University,https://vi.wikipedia.org/wiki/Sciences_Po,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"Somerville College, Oxford",University,https://vi.wikipedia.org/wiki/Somerville_College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,The New School,University,https://vi.wikipedia.org/wiki/The_New_School,,,,,Narwhals,,,,,,,,,,,,,,,,,,,,,,,,2.230 [ 3 ],,,,,,,,,,,,,,,,,Thành thị,,To the Living Spirit,,,,,,Gnarls the Narwhal,AACU,,,,Đại học nghiên cứu tư thục,,,"Trắng, Đen, và Đỏ Parsons",,,212 [ 3 ],,,,,,,,,,,,,,,Tim Marshall,,,,,,,,,,,,,,"10,186 [ 3 ]",,2.857 [ 3 ] ( giáo dục thường xuyên ),3.138,6.836,,,,,,,,,1919,,,,,,,,,"399,3 triệu USD (2019) [ 1 ]",,The New School For Social Research (1919–1997) New School University (1997–2005),,,,,,,,,,,,,,,Dwight A. McBride [ 2 ],,"Thành phố New York; ,; New York; ,; Hoa Kỳ; 40°44′8,08″B; 73°59′49,08″T; ﻿ / ﻿; 40,73333°B 73,98333°T; ﻿ /; 40.73333; -73.98333",,,www .newschool .edu,,"Không liên kết, đấu với NCAA Division III schools",,,,,
187,Trường Kinh tế và Khoa học Chính trị Luân Đôn,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Kinh_t%E1%BA%BF_Lu%C3%A2n_%C4%90%C3%B4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Trường Kinh tế và Khoa học Chính trị Luân Đôn,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Kinh_t%E1%BA%BF_London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Trường Kinh tế và Khoa học Chính trị Luân Đôn,University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_Kinh_t%E1%BA%BF_v%C3%A0_Khoa_h%E1%BB%8Dc_Ch%C3%ADnh_tr%E1%BB%8B_London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Trường Hậu bổ (Hà Nội),University,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_H%E1%BA%ADu_b%E1%BB%95_%28H%C3%A0_N%E1%BB%99i%29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
