src_person_id,dst_person_id,src_person,dst_person,shared_count
237,299,Edvard Beneš,François Mitterrand,1
237,305,Edvard Beneš,Gaston Doumergue,1
237,368,Edvard Beneš,Habib Bourguiba,1
237,394,Edvard Beneš,Henri Bergson,1
237,468,Edvard Beneš,Jacques-Louis David,1
237,501,Edvard Beneš,Jean Casimir-Perier,1
237,508,Edvard Beneš,Jean-Luc Godard,1
237,567,Edvard Beneš,John Turner,1
237,762,Edvard Beneš,Michel Debré,1
237,768,Edvard Beneš,Miguel Ángel Asturias,1
237,871,Edvard Beneš,Paul Deschanel,1
237,874,Edvard Beneš,Paul Doumer,1
237,915,Edvard Beneš,Pierre Mendès France,1
237,931,Edvard Beneš,Raymond Poincaré,1
237,991,Edvard Beneš,Saionji Kinmochi,1
237,1217,Edvard Beneš,Émile Loubet,1
299,305,François Mitterrand,Gaston Doumergue,1
299,368,François Mitterrand,Habib Bourguiba,1
299,394,François Mitterrand,Henri Bergson,1
299,468,François Mitterrand,Jacques-Louis David,1
299,501,François Mitterrand,Jean Casimir-Perier,1
299,508,François Mitterrand,Jean-Luc Godard,1
299,567,François Mitterrand,John Turner,1
299,768,François Mitterrand,Miguel Ángel Asturias,1
299,871,François Mitterrand,Paul Deschanel,1
299,874,François Mitterrand,Paul Doumer,1
299,915,François Mitterrand,Pierre Mendès France,1
299,931,François Mitterrand,Raymond Poincaré,1
299,991,François Mitterrand,Saionji Kinmochi,1
299,1217,François Mitterrand,Émile Loubet,1
305,368,Gaston Doumergue,Habib Bourguiba,1
305,394,Gaston Doumergue,Henri Bergson,1
305,468,Gaston Doumergue,Jacques-Louis David,1
305,501,Gaston Doumergue,Jean Casimir-Perier,1
305,508,Gaston Doumergue,Jean-Luc Godard,1
305,567,Gaston Doumergue,John Turner,1
305,762,Gaston Doumergue,Michel Debré,1
305,768,Gaston Doumergue,Miguel Ángel Asturias,1
305,871,Gaston Doumergue,Paul Deschanel,1
305,874,Gaston Doumergue,Paul Doumer,1
305,915,Gaston Doumergue,Pierre Mendès France,1
305,931,Gaston Doumergue,Raymond Poincaré,1
305,991,Gaston Doumergue,Saionji Kinmochi,1
305,1217,Gaston Doumergue,Émile Loubet,1
368,394,Habib Bourguiba,Henri Bergson,1
368,468,Habib Bourguiba,Jacques-Louis David,1
368,501,Habib Bourguiba,Jean Casimir-Perier,1
368,508,Habib Bourguiba,Jean-Luc Godard,1
368,567,Habib Bourguiba,John Turner,1
368,762,Habib Bourguiba,Michel Debré,1
368,768,Habib Bourguiba,Miguel Ángel Asturias,1
368,871,Habib Bourguiba,Paul Deschanel,1
368,874,Habib Bourguiba,Paul Doumer,1
368,915,Habib Bourguiba,Pierre Mendès France,1
368,931,Habib Bourguiba,Raymond Poincaré,1
368,991,Habib Bourguiba,Saionji Kinmochi,1
368,1217,Habib Bourguiba,Émile Loubet,1
394,468,Henri Bergson,Jacques-Louis David,1
394,501,Henri Bergson,Jean Casimir-Perier,1
394,508,Henri Bergson,Jean-Luc Godard,1
394,567,Henri Bergson,John Turner,1
394,762,Henri Bergson,Michel Debré,1
394,768,Henri Bergson,Miguel Ángel Asturias,1
394,871,Henri Bergson,Paul Deschanel,1
394,874,Henri Bergson,Paul Doumer,1
394,915,Henri Bergson,Pierre Mendès France,1
394,931,Henri Bergson,Raymond Poincaré,1
394,991,Henri Bergson,Saionji Kinmochi,1
394,1217,Henri Bergson,Émile Loubet,1
468,501,Jacques-Louis David,Jean Casimir-Perier,1
468,508,Jacques-Louis David,Jean-Luc Godard,1
468,567,Jacques-Louis David,John Turner,1
468,762,Jacques-Louis David,Michel Debré,1
468,768,Jacques-Louis David,Miguel Ángel Asturias,1
468,871,Jacques-Louis David,Paul Deschanel,1
468,874,Jacques-Louis David,Paul Doumer,1
468,915,Jacques-Louis David,Pierre Mendès France,1
468,931,Jacques-Louis David,Raymond Poincaré,1
468,991,Jacques-Louis David,Saionji Kinmochi,1
468,1217,Jacques-Louis David,Émile Loubet,1
501,508,Jean Casimir-Perier,Jean-Luc Godard,1
501,567,Jean Casimir-Perier,John Turner,1
501,762,Jean Casimir-Perier,Michel Debré,1
501,768,Jean Casimir-Perier,Miguel Ángel Asturias,1
501,871,Jean Casimir-Perier,Paul Deschanel,1
501,874,Jean Casimir-Perier,Paul Doumer,1
501,915,Jean Casimir-Perier,Pierre Mendès France,1
501,931,Jean Casimir-Perier,Raymond Poincaré,1
501,991,Jean Casimir-Perier,Saionji Kinmochi,1
501,1217,Jean Casimir-Perier,Émile Loubet,1
508,567,Jean-Luc Godard,John Turner,1
508,762,Jean-Luc Godard,Michel Debré,1
508,768,Jean-Luc Godard,Miguel Ángel Asturias,1
508,871,Jean-Luc Godard,Paul Deschanel,1
508,874,Jean-Luc Godard,Paul Doumer,1
508,915,Jean-Luc Godard,Pierre Mendès France,1
508,931,Jean-Luc Godard,Raymond Poincaré,1
508,991,Jean-Luc Godard,Saionji Kinmochi,1
508,1217,Jean-Luc Godard,Émile Loubet,1
567,762,John Turner,Michel Debré,1
567,768,John Turner,Miguel Ángel Asturias,1
567,871,John Turner,Paul Deschanel,1
567,874,John Turner,Paul Doumer,1
567,915,John Turner,Pierre Mendès France,1
567,931,John Turner,Raymond Poincaré,1
567,991,John Turner,Saionji Kinmochi,1
567,1217,John Turner,Émile Loubet,1
762,768,Michel Debré,Miguel Ángel Asturias,1
762,871,Michel Debré,Paul Deschanel,1
762,874,Michel Debré,Paul Doumer,1
762,915,Michel Debré,Pierre Mendès France,1
762,931,Michel Debré,Raymond Poincaré,1
762,991,Michel Debré,Saionji Kinmochi,1
762,1217,Michel Debré,Émile Loubet,1
768,871,Miguel Ángel Asturias,Paul Deschanel,1
768,874,Miguel Ángel Asturias,Paul Doumer,1
768,915,Miguel Ángel Asturias,Pierre Mendès France,1
768,931,Miguel Ángel Asturias,Raymond Poincaré,1
768,991,Miguel Ángel Asturias,Saionji Kinmochi,1
768,1217,Miguel Ángel Asturias,Émile Loubet,1
871,874,Paul Deschanel,Paul Doumer,1
871,915,Paul Deschanel,Pierre Mendès France,1
871,931,Paul Deschanel,Raymond Poincaré,1
871,991,Paul Deschanel,Saionji Kinmochi,1
871,1217,Paul Deschanel,Émile Loubet,1
874,915,Paul Doumer,Pierre Mendès France,1
874,931,Paul Doumer,Raymond Poincaré,1
874,991,Paul Doumer,Saionji Kinmochi,1
874,1217,Paul Doumer,Émile Loubet,1
915,931,Pierre Mendès France,Raymond Poincaré,1
915,991,Pierre Mendès France,Saionji Kinmochi,1
915,1217,Pierre Mendès France,Émile Loubet,1
931,991,Raymond Poincaré,Saionji Kinmochi,1
931,1217,Raymond Poincaré,Émile Loubet,1
991,1217,Saionji Kinmochi,Émile Loubet,1
41,324,Alfred Rosenberg,Georgy Maksimilianovich Malenkov,1
42,296,Anders Fogh Rasmussen,Frederik X của Đan Mạch,1
43,200,Amy Coney Barrett,Condoleezza Rice,1
44,377,Alfred Deakin,Harold Holt,1
44,597,Alfred Deakin,Julia Gillard,1
44,960,Alfred Deakin,Robert Menzies,1
377,597,Harold Holt,Julia Gillard,1
